,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,TTM,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
0,Prince Pipes,Total Rev. Ann.,-1.6%,9.1%,"2,537.7","2,537.7","2,584.8","2,719.4","2,662.3","2,089.1","1,642.6","1,579","1,321.1","1,249","1,010.1",959.3
1,Prince Pipes,Operating Rev. Ann.,-1.7%,9.1%,"2,523.9","2,523.9","2,568.8","2,710.9","2,656.8","2,071.5","1,635.7","1,571.9","1,315","1,246.5","1,009",957.2
2,Prince Pipes,Other Income Ann.,35.6%,14.7%,13.7,13.7,16.1,8.6,5.5,17.6,6.9,7.1,6,2.5,1.1,2.1
3,Prince Pipes,Operating Exp. Ann.,1.8%,10.9%,"2,362.1","2,362.1","2,261.3","2,460.6","2,241.2","1,709.9","1,406.9","1,387.8","1,153.5","1,085.5",905.6,870.9
4,Prince Pipes,Operating Exp. Ann.,1.8%,10.9%,"2,362.1","2,362.1","2,261.3","2,460.6","2,241.2","1,709.9","1,406.9","1,387.8","1,153.5","1,085.5",905.6,870.9
5,Prince Pipes,Operating Profit Ann.,-27%,-6.7%,161.8,161.8,307.4,250.3,415.6,361.6,228.8,184.1,161.6,161,103.4,86.3
6,Prince Pipes,OPM Ann. %,-25.8%,-14.5%, ,6.38%,11.89%,9.20%,15.61%,17.31%,13.93%,11.66%,12.23%,12.89%,10.24%,8.99%
7,Prince Pipes,Total Exp. Ann.,2.2%,10.7%, ,"2,478.8","2,359","2,554.6","2,325.4","1,790","1,492","1,467.7","1,225.8","1,153",969.4,936.9
8,Prince Pipes,Other Exp. Ann.,9.2%,9.8%,304,304,294.3,252.3,233.5,231.3,190.3,178.8,159.5,135.5,107.8,96.7
9,Prince Pipes,Employee Exp. Ann.,14.4%,14.1%,174.2,174.2,147.7,116.1,116.2,99.7,90.2,81.7,72.6,61,53,48.8
10,Prince Pipes,Cost Of Power Purchased Ann.,-,-, ,,,,,,,,,,,
11,Prince Pipes,Cost Of Fuel Ann.,-,-, ,,,,,,,,,,,
12,Prince Pipes,EBITDA Ann.,-25.3%,-5.7%, ,175.5,323.5,258.9,421.1,379.2,235.7,191.2,167.6,163.4,104.6,88.3
13,Prince Pipes,EBITDA Ann. margin %,-24.1%,-13.6%, ,6.92%,12.52%,9.52%,15.82%,18.15%,14.35%,12.11%,12.69%,13.09%,10.35%,9.21%
14,Prince Pipes,Interest Ann.,-11.3%,-21.8%,9.7,9.7,6.5,11,13.9,20.7,33.2,36.3,35.4,35.8,35.3,37.4
15,Prince Pipes,Depr.,15%,15.5%,107,107,91.2,83,70.3,59.4,52,43.6,36.9,31.7,28.5,28.6
16,Prince Pipes,PBT Ann.,-44.1%,-17.1%,58.8,58.9,243.8,164.8,336.9,299.2,150.6,111.3,95.3,85,40.7,22.4
17,Prince Pipes,Tax Ann.,-43.6%,-16.2%,15.7,15.7,61.3,43.4,87.5,77.3,38.1,29.2,21.8,19.8,9.6,5.2
18,Prince Pipes,PAT Before ExtraOrdinary Items Ann.,-44.3%,-17.5%, ,43.1,182.5,121.4,249.4,221.8,112.5,82.1,73.5,65.2,31.1,17.2
19,Prince Pipes,Minority Interest Income Ann.,-,-, ,-,-,-,-,-,-,-,-,-,-,-
20,Prince Pipes,Net Profit Ann.,-44.3%,-17.5%,43.1,43.1,182.5,121.4,249.4,221.8,112.5,82.1,73.5,65.2,31.1,17.2
21,Prince Pipes,NPM Ann. %,-43.4%,-24.4%, ,1.70%,7.10%,4.47%,9.38%,10.70%,6.87%,5.22%,5.58%,5.22%,3.08%,1.79%
22,Prince Pipes,EPS Adj. latest Ann.,-44.3%,-17.5%, ,3.9,16.5,11,22.6,20.1,10.2,7.4,6.7,5.9,2.8,1.6
23,Prince Pipes,Result Notes, , , , ,Notes,Notes,Notes,Notes,Notes, , , , , 
24,Prince Pipes,Annual Reports, , , , ,,,,,, , , , , 
25,DC Infotech and Comms,Total Rev. Ann.,33.8%,30.4%,557.2,557.2,460.7,359.9,232.6,175.7,147.8,15.2,97.6,108.8,,
26,DC Infotech and Comms,Operating Rev. Ann.,33.7%,30.4%,555.7,555.8,459.6,359.6,232.5,175.3,147.6,15.2,97.5,108.6,,
27,DC Infotech and Comms,Other Income Ann.,141%,36.1%,1.4,1.4,1,0.3,0.1,0.4,0.3,0,0.1,0.2,,
28,DC Infotech and Comms,Operating Exp. Ann.,33%,29.9%,529.7,529.7,439.6,346.9,225.2,170.4,143.1,13.8,94.6,106.7,,
29,DC Infotech and Comms,Operating Exp. Ann.,33%,29.9%,529.7,529.7,439.6,346.9,225.2,170.4,143.1,13.8,94.6,106.7,,
30,DC Infotech and Comms,Operating Profit Ann.,52.9%,42.1%,26.1,26.1,20,12.7,7.3,4.9,4.5,1.4,2.9,1.9,,
31,DC Infotech and Comms,OPM Ann. %,14.1%,9.2%, ,4.68%,4.35%,3.53%,3.15%,2.81%,3.01%,9.09%,3.01%,1.75%,,
32,DC Infotech and Comms,Total Exp. Ann.,33.2%,29.9%, ,537.2,445,350.4,227.1,172.6,145.3,14.1,95.8,107.5,,
33,DC Infotech and Comms,Other Exp. Ann.,29.3%,26.3%,10.6,10.6,7.5,7.3,4.9,3.3,3.3,0.2,1.3,1.4,,
34,DC Infotech and Comms,Employee Exp. Ann.,20.3%,24.8%,9.4,9.4,8.8,7.3,5.4,3.8,3.1,0.3,2.4,3,,
35,DC Infotech and Comms,Cost Of Power Purchased Ann.,-,-, ,,,,,,,,,,,
36,DC Infotech and Comms,Cost Of Fuel Ann.,-,-, ,,,,,,,,,,,
37,DC Infotech and Comms,EBITDA Ann.,54.9%,42.4%, ,27.5,21.1,13,7.4,5.4,4.7,1.4,3,2.1,,
38,DC Infotech and Comms,EBITDA Ann. margin %,15.7%,9%, ,4.94%,4.57%,3.61%,3.19%,3.04%,3.21%,9.22%,3.07%,1.95%,,
39,DC Infotech and Comms,Interest Ann.,66.3%,29.4%,6.9,6.9,4.9,2.8,1.5,1.9,1.9,0.2,1.1,0.8,,
40,DC Infotech and Comms,Depr.,14.5%,14.9%,0.6,0.6,0.6,0.7,0.4,0.3,0.3,0,0.1,0,,
41,DC Infotech and Comms,PBT Ann.,53.8%,51.6%,20,20,15.6,9.5,5.5,3.2,2.5,1.1,1.8,1.3,,
42,DC Infotech and Comms,Tax Ann.,54.2%,68.9%,5.5,5.5,4,2.4,1.5,1,0.4,0.3,0.5,0.4,,
43,DC Infotech and Comms,PAT Before ExtraOrdinary Items Ann.,53.6%,47.2%, ,14.5,11.6,7.1,4,2.2,2.1,0.8,1.3,0.9,,
44,DC Infotech and Comms,Minority Interest Income Ann.,-,-, ,-,-,-,-,-,-,-,-,-,,
45,DC Infotech and Comms,Net Profit Ann.,53.6%,62%,14.5,14.5,11.6,7.1,4,2.2,1.3,0.8,1.3,0.9,,
46,DC Infotech and Comms,NPM Ann. %,14.8%,24.8%, ,2.60%,2.52%,1.96%,1.72%,1.25%,0.86%,5.37%,1.33%,0.83%,,
47,DC Infotech and Comms,EPS Adj. latest Ann.,53.9%,62.5%, ,10.2,8.2,5,2.8,1.6,0.9,0.6,0.9,0.6,,
48,DC Infotech and Comms,Result Notes, , , ,Notes,Notes,Notes, , , , , , ,,
49,DC Infotech and Comms,Annual Reports, , , , ,,, , , , , , ,,
50,Ujjivan Small Finance,Total Rev. Ann.,32.1%,18.9%,"7,200.6","7,200.6","6,463.9","4,754.2","3,126.1","3,116.9","3,025.8","2,037.6","1,579.4",226.1,,
51,Ujjivan Small Finance,Operating Rev. Ann.,31.2%,18.6%,"6,354.4","6,354.4","5,677.2","4,165","2,812.8","2,806.1","2,703.6","1,831.6","1,467.9",212.7,,
52,Ujjivan Small Finance,Other Income Ann.,39.3%,21.3%,846.2,846.2,786.8,589.2,313.3,310.8,322.2,206,111.5,13.4,,
53,Ujjivan Small Finance,Operating Exp. Ann.,23.1%,16.2%,"2,793.2","2,793.2","2,279.1","1,802.1","1,496.4","1,230.1","1,318.6","1,003.4",652.9,111.4,,
54,Ujjivan Small Finance,Operating Exp. Ann.,23.1%,16.2%,"2,793.2","2,793.2","2,279.1","1,802.1","1,496.4","1,230.1","1,318.6","1,003.4",652.9,111.4,,
55,Ujjivan Small Finance,Operating Profit Ann.,42%,21.5%,"1,689.2","1,689.2","1,917.1","1,485",590.5,809.3,637.2,309,319.6,5.3,,
56,Ujjivan Small Finance,OPM Ann. %,7.5%,2.2%, ,23.46%,29.66%,31.24%,18.89%,25.96%,21.06%,15.17%,20.24%,2.36%,,
57,Ujjivan Small Finance,Total Exp. Ann.,22.3%,19.3%, ,"6,474.5","5,182.4","3,654.3","3,540.7","3,108.6","2,675.9","1,838.4","1,572.5",226.1,,
58,Ujjivan Small Finance,Other Exp. Ann.,-,-,"1,293.7",-,-,-,-,-,-,-,-,-,,
59,Ujjivan Small Finance,Employee Exp. Ann.,22.7%,15.9%,"1,499.5","1,499.5","1,183.2",920.3,812.6,748.8,718.5,518.8,360.4,50.7,,
60,Ujjivan Small Finance,Cost Of Power Purchased Ann.,-,-, ,-,-,-,-,-,-,-,-,-,,
61,Ujjivan Small Finance,Cost Of Fuel Ann.,-,-, ,-,-,-,-,-,-,-,-,-,,
62,Ujjivan Small Finance,EBITDA Ann.,39.6%,20.8%, ,"1,824","2,015.4","1,575.3",670.9,886.1,709.9,369.6,361,10.4,,
63,Ujjivan Small Finance,EBITDA Ann. margin %,5.7%,1.5%, ,25.33%,31.18%,33.14%,21.46%,28.43%,23.46%,18.14%,22.86%,4.61%,,
64,Ujjivan Small Finance,Interest Ann.,37.8%,20.5%,"2,718.1","2,718.1","2,267.7","1,467.1","1,039.2","1,077.5","1,070",725.2,606.9,109.4,,
65,Ujjivan Small Finance,Depr.,18.8%,13.2%, ,134.7,98.3,90.3,80.4,76.8,72.6,60.6,41.4,5.1,,
66,Ujjivan Small Finance,PBT Ann.,-,15.1%,941.6,941.6,"1,702.2","1,467.2",-550.4,10.2,466.2,268.4,8.9,0.9,,
67,Ujjivan Small Finance,Tax Ann.,-,13.1%,215.5,215.5,420.7,367.3,-135.8,1.9,116.3,69.2,2,0.9,,
68,Ujjivan Small Finance,PAT Before ExtraOrdinary Items Ann.,-,15.7%, ,726.1,"1,281.5","1,099.9",-414.6,8.3,349.9,199.2,6.9,0,,
69,Ujjivan Small Finance,Minority Interest Income Ann.,-,-, ,-,-,-,-,-,-,-,-,-,,
70,Ujjivan Small Finance,Net Profit Ann.,-,15.7%,726.1,726.1,"1,281.5","1,099.9",-414.6,8.3,349.9,199.2,6.9,0,,
71,Ujjivan Small Finance,NPM Ann. %,-,-2.5%, ,11.42%,22.57%,26.40%,-14.73%,0.29%,12.94%,10.87%,0.46%,0.01%,,
72,Ujjivan Small Finance,EPS Adj. latest Ann.,-,16.1%, ,3.8,6.6,5.7,-2.1,0,1.8,1,0,,,
73,Ujjivan Small Finance,Result Notes, , , , ,Notes,Notes,Notes,Notes,Notes, , , ,,
74,Ujjivan Small Finance,Annual Reports, , , ,,,,,,, , , ,,
75,Ascom Leasing,Total Rev. Ann.,1.1%,4.8%,,12.9,12.3,12.2,12.5,10.7,10.2,9.1,6.2,3.7,1,
76,Ascom Leasing,Operating Rev. Ann.,1.1%,4.8%,,12.9,12.3,12.2,12.5,10.7,10.2,9,6.2,3.6,1,
77,Ascom Leasing,Other Income Ann.,-,-,,,,,,,,0.2,0,0,0,
78,Ascom Leasing,Operating Exp. Ann.,-,-,,-,5.3,5.2,5.1,3.7,3.1,2.4,1.1,2.8,0.9,
79,Ascom Leasing,Operating Exp. Ann.,-,-,,-,5.3,5.2,5.1,3.7,3.1,2.4,1.1,2.8,0.9,
80,Ascom Leasing,Operating Profit Ann.,-,-,,-,7,7,7.3,7.1,7.1,6.6,5.1,0.8,0.1,
81,Ascom Leasing,OPM Ann. %,-,-,,-,56.79%,57.55%,58.91%,65.89%,69.77%,71.96%,81.67%,22.16%,8.19%,
82,Ascom Leasing,Total Exp. Ann.,0.6%,8.8%,,6.1,5.7,5.5,6,4.3,4,3.1,1.4,3,0.9,
83,Ascom Leasing,Other Exp. Ann.,15.9%,18.5%,,1.4,1,0.9,0.9,0.7,0.6,0.7,0.6,1.8,0.3,
84,Ascom Leasing,Employee Exp. Ann.,0%,9.9%,,4,4.2,4,4,2.9,2.5,1.7,0.5,1,0.6,
85,Ascom Leasing,Cost Of Power Purchased Ann.,-,-,,,,,,,,,,,,
86,Ascom Leasing,Cost Of Fuel Ann.,-,-,,,,,,,,,,,,
87,Ascom Leasing,EBITDA Ann.,-,-,,-,7,7,7.3,7.1,7.1,6.8,5.1,0.9,0.1,
88,Ascom Leasing,EBITDA Ann. margin %,-,-,,-,56.79%,57.55%,58.91%,65.89%,69.77%,73.80%,82.20%,23.21%,10.85%,
89,Ascom Leasing,Interest Ann.,0%,0%,,0.7,0.2,0.2,0.7,0.5,0.7,0.5,0.2,0.1,0,
90,Ascom Leasing,Depr.,-20.6%,-19.7%,,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.1,0.1,,
91,Ascom Leasing,PBT Ann.,1.5%,1.9%,,6.8,6.6,6.6,6.5,6.4,6.2,6,4.9,0.7,0.1,
92,Ascom Leasing,Tax Ann.,2%,1.2%,,1.7,1.7,1.7,1.6,1.6,1.6,1.7,0.5,0.2,0,
93,Ascom Leasing,PAT Before ExtraOrdinary Items Ann.,1.3%,2.1%,,5.1,5,5,4.9,4.8,4.6,4.4,4.4,0.5,0,
94,Ascom Leasing,Minority Interest Income Ann.,-,-,,-,-,-,-,-,-,-,-,-,-,
95,Ascom Leasing,Net Profit Ann.,1.3%,2.1%,,5.1,5,5,4.9,4.8,4.6,3.5,4.4,0.5,0,
96,Ascom Leasing,NPM Ann. %,0.3%,-2.6%,,39.55%,40.26%,40.82%,39.15%,44.77%,45.20%,38.47%,71.52%,13.40%,4.61%,
97,Ascom Leasing,EPS Adj. latest Ann.,1.6%,2.4%,,4.4,4.2,4.2,4.2,4.1,3.9,3,3.8,0.4,0,
98,Ascom Leasing,Annual Reports, , ,, , , , , , , , , , ,
99,CSB Bank,Total Rev. Ann.,26%,21.4%,"4,569.2","4,569.2","3,511.8","2,635.7","2,285.1","2,273.1","1,731.5","1,483.4","1,422.2","1,617.5","1,587.6","1,671.9"
100,CSB Bank,Operating Rev. Ann.,20.8%,19%,"3,597.1","3,597.1","2,927.5","2,319.7","2,038.3","1,872.3","1,509.9","1,347.5","1,296.8","1,336.3","1,482.9","1,544.6"
101,CSB Bank,Other Income Ann.,57.9%,34.4%,972.1,972.1,584.3,316,246.8,400.8,221.6,135.9,125.4,281.2,104.7,127.3
102,CSB Bank,Operating Exp. Ann.,25.1%,23.6%,"1,538","1,538","1,280.8",942.5,786.4,729,533.3,562.5,435.9,443.1,432,433.2
103,CSB Bank,Operating Exp. Ann.,25.1%,23.6%,"1,538","1,538","1,280.8",942.5,786.4,729,533.3,562.5,435.9,443.1,432,433.2
104,CSB Bank,Operating Profit Ann.,14%,26.5%,910.2,910.2,779.9,707.4,613.7,613.2,280.6,13.4,74.3,151.7,-3.8,50.1
105,CSB Bank,OPM Ann. %,-9.5%,4.2%, ,19.92%,22.21%,26.84%,26.86%,26.98%,16.20%,0.90%,5.23%,9.38%,-0.24%,3.00%
106,CSB Bank,Total Exp. Ann.,29.6%,18.3%, ,"3,975.4","2,945","2,088.3","1,826.6","2,054.7","1,718.8","1,680.9","1,519.7","1,615.9","1,737.3","1,725.1"
107,CSB Bank,Other Exp. Ann.,-,-,783.7,-,-,-,-,-,-,-,-,-,-,-
108,CSB Bank,Employee Exp. Ann.,16.1%,17.9%,754.3,754.3,714.7,558.5,481.9,496.2,331.3,384.4,286.9,293.6,296.8,307.8
109,CSB Bank,Cost Of Power Purchased Ann.,-,-, ,-,-,-,-,-,-,-,-,-,-,-
110,CSB Bank,Cost Of Fuel Ann.,-,-, ,-,-,-,-,-,-,-,-,-,-,-
111,CSB Bank,EBITDA Ann.,11.8%,24.5%, ,910.2,835.5,750.6,651.7,654,304.1,29.9,89.9,166.6,10,61
112,CSB Bank,EBITDA Ann. margin %,-11.3%,2.6%, ,19.92%,23.79%,28.48%,28.52%,28.77%,17.56%,2.02%,6.32%,10.30%,0.63%,3.65%
113,CSB Bank,Interest Ann.,33.8%,18.2%,"2,121","2,121","1,451.1",985.8,885,930.9,917.6,907.6,912,"1,022.7","1,159.3","1,188.6"
114,CSB Bank,Depr.,10.9%,27.5%, ,,55.6,43.2,38,40.8,23.5,16.5,15.6,14.9,13.7,10.9
115,CSB Bank,PBT Ann.,9.2%,42.9%,799.5,799.5,761.4,733.6,614.2,292.6,134,-300.1,-149.4,-8.9,-71.2,-82.2
116,CSB Bank,Tax Ann.,9.7%,11.1%,205.7,205.7,194.6,186.3,155.7,74.2,121.3,-102.7,-51.9,-10.5,78.6,-29
117,CSB Bank,PAT Before ExtraOrdinary Items Ann.,9%,115.8%, ,593.8,566.8,547.4,458.5,218.4,12.7,-197.4,-97.5,1.6,-149.7,-53.2
118,CSB Bank,Minority Interest Income Ann.,-,-, ,-,-,-,-,-,-,-,-,-,-,-
119,CSB Bank,Net Profit Ann.,9%,115.8%,593.8,593.8,566.8,547.4,458.5,218.4,12.7,-197.4,-97.5,1.6,-149.7,-53.2
120,CSB Bank,NPM Ann. %,-9.8%,81.4%, ,16.50%,19.36%,23.59%,22.49%,11.66%,0.84%,-14.65%,-7.51%,0.11%,-10.09%,-3.44%
121,CSB Bank,EPS Adj. latest Ann.,9%,117.7%, ,34.2,32.7,31.6,26.4,12.6,0.7,-11.4,-5.6,0.1,-8.6,-3.1
122,CSB Bank,Result Notes, , , , ,Notes,Notes,Notes,Notes,Notes, , , , , 
123,CSB Bank,Annual Reports, , , , ,,,,,, , , , , 
124,Mangalam Global,Total Rev. Ann.,20.9%,29.7%,"2,113.1","2,113.1","1,680.8","1,231.4","1,196.9",914.1,575.7,330,26.9,2.7,0.7,
125,Mangalam Global,Operating Rev. Ann.,20.7%,29.5%,"2,092.5","2,092.5","1,669.1","1,225.9","1,188.8",907.8,574.1,329.5,26.9,2.7,0.7,
126,Mangalam Global,Other Income Ann.,35.7%,64.5%,20.5,20.5,11.7,5.6,8.2,6.3,1.7,0.5,0,,,
127,Mangalam Global,Operating Exp. Ann.,20.3%,29.4%,"2,051.9","2,051.9","1,634.6","1,201.3","1,179.4",899.6,565.4,324.2,26.5,2.5,0.6,
128,Mangalam Global,Operating Exp. Ann.,20.3%,29.4%,"2,051.9","2,051.9","1,634.6","1,201.3","1,179.4",899.6,565.4,324.2,26.5,2.5,0.6,
129,Mangalam Global,Operating Profit Ann.,62.9%,36.1%,40.6,40.6,34.5,24.5,9.4,8.2,8.7,5.3,0.4,0.2,0.1,
130,Mangalam Global,OPM Ann. %,34.4%,5.1%, ,1.92%,2.05%,1.99%,0.79%,0.89%,1.50%,1.61%,1.56%,6.14%,8.26%,
131,Mangalam Global,Total Exp. Ann.,20.4%,29.5%, ,"2,080.7","1,661.3","1,216.5","1,191.7",907,570.8,327,26.6,2.6,0.6,
132,Mangalam Global,Other Exp. Ann.,13.9%,23.1%,26.6,26.6,22.1,25.3,18,25.7,9.4,3.7,0.5,0.3,0.2,
133,Mangalam Global,Employee Exp. Ann.,-7.1%,-1.4%,5.3,5.3,5.5,6.9,6.6,5.8,5.7,1.9,0.2,0,0.1,
134,Mangalam Global,Cost Of Power Purchased Ann.,-,-, ,,,,,,,,,,,
135,Mangalam Global,Cost Of Fuel Ann.,-,-, ,,,,,,,,,,,
136,Mangalam Global,EBITDA Ann.,51.5%,42.8%, ,61.2,46.2,30.1,17.6,14.4,10.3,5.8,0.4,0.2,0.1,
137,Mangalam Global,EBITDA Ann. margin %,25.3%,10.1%, ,2.89%,2.75%,2.45%,1.47%,1.58%,1.79%,1.77%,1.57%,6.21%,8.26%,
138,Mangalam Global,Interest Ann.,42.1%,39.2%,26.7,26.7,23.9,12.1,9.3,5.3,5.1,2.7,0,,0,
139,Mangalam Global,Depr.,-12.2%,47.6%,2.1,2.1,2.8,3,3.1,2.2,0.3,0.2,0.1,0,0,
140,Mangalam Global,PBT Ann.,79.4%,43.7%,30,30,21.3,15,5.2,7,4.9,3,0.3,0.1,0,
141,Mangalam Global,Tax Ann.,85.5%,49.8%,8.3,8.3,2.4,3.1,1.3,1.7,1.1,0.8,,0,,
142,Mangalam Global,PAT Before ExtraOrdinary Items Ann.,77.5%,41.8%, ,21.8,18.9,11.9,3.9,5.3,3.8,2.2,0.3,0.1,0,
143,Mangalam Global,Minority Interest Income Ann.,-,-, ,-,-,-,-,-,-,-,-,-,-,
144,Mangalam Global,Net Profit Ann.,77.5%,41.8%,21.7,21.8,18.9,11.9,3.9,5.3,3.8,2.2,0.3,0.1,0,
145,Mangalam Global,NPM Ann. %,47.6%,9.6%, ,1.03%,1.13%,0.97%,0.32%,0.58%,0.65%,0.66%,1.26%,3.95%,1.89%,
146,Mangalam Global,EPS Adj. latest Ann.,91.3%,47.6%, ,0.7,0.6,0.4,0.1,0.2,0.1,0.1,0,,,
147,Mangalam Global,Annual Reports, , , , , , , , , , , , , ,
148,Goblin,Total Rev. Ann.,38.6%,-9%,,38.9,32.7,29,14.6,33.7,62.4,60.5,55.4,46.8,40.1,
149,Goblin,Operating Rev. Ann.,42.8%,-9.8%,,37.3,30.8,26.2,12.8,33.7,62.3,60.4,55.3,46.8,40.1,
150,Goblin,Other Income Ann.,-3.9%,74.1%,,1.6,1.9,2.8,1.8,,0.1,0.1,0.2,0,0,
151,Goblin,Operating Exp. Ann.,-,-,,-,27.8,25.4,14.2,32.7,57.1,54.9,51.1,44.5,37.5,
152,Goblin,Operating Exp. Ann.,-,-,,-,27.8,25.4,14.2,32.7,57.1,54.9,51.1,44.5,37.5,
153,Goblin,Operating Profit Ann.,-,-,,-,3,0.8,-1.4,1,5.2,5.5,4.2,2.3,2.6,
154,Goblin,OPM Ann. %,-,-,,-,9.10%,2.78%,-9.58%,2.95%,8.27%,9.03%,7.52%,4.88%,6.40%,
155,Goblin,Total Exp. Ann.,31.4%,-8.9%,,37.4,31.2,28.8,16.5,35.6,59.5,57.7,53.1,46.3,39.7,
156,Goblin,Other Exp. Ann.,28.1%,-3.4%,,2.1,1.7,2.2,1,1.1,2.5,2,3.2,1.8,2,
157,Goblin,Employee Exp. Ann.,60.4%,14.2%,,3.3,1.9,1.2,0.8,1,1.7,1.6,1.6,1.3,1.1,
158,Goblin,Cost Of Power Purchased Ann.,-,-,,,,,,,,,,,,
159,Goblin,Cost Of Fuel Ann.,-,-,,,,,,,,,,,,
160,Goblin,EBITDA Ann.,-,-,,-,4.9,3.6,0.4,1,5.3,5.6,4.3,2.3,2.6,
161,Goblin,EBITDA Ann. margin %,-,-,,-,14.86%,12.40%,2.83%,2.96%,8.43%,9.26%,7.80%,4.96%,6.46%,
162,Goblin,Interest Ann.,1.6%,1%,,2.1,2.6,3,2,2.5,2,2.5,1.8,1.6,1.9,
163,Goblin,Depr.,32.6%,11.8%,,0.7,0.7,0.4,0.3,0.4,0.4,0.3,0.2,0.2,0.2,
164,Goblin,PBT Ann.,-,-7.2%,,2,1.5,1.4,-1.9,-1.9,2.9,2.8,2.4,0.6,0.5,
165,Goblin,Tax Ann.,81.7%,-3%,,0.6,-0.2,0.1,0.1,0,0.7,0.8,0.7,0.2,0.2,
166,Goblin,PAT Before ExtraOrdinary Items Ann.,-,-8.6%,,1.4,1.7,1.3,-2,-2,2.2,2.1,1.7,0.4,0.3,
167,Goblin,Minority Interest Income Ann.,-,-,,-,-,-,-,-,-,-,-,-,-,
168,Goblin,Net Profit Ann.,-,-8.6%,,1.4,1.7,1.3,-1.6,-2,2.2,2.1,1.7,0.4,0.3,
169,Goblin,NPM Ann. %,-,1.4%,,3.76%,5.60%,4.91%,-12.53%,-5.82%,3.51%,3.42%,3.08%,0.82%,0.80%,
170,Goblin,EPS Adj. latest Ann.,-,-9%,,1,1.3,0.9,-1.2,-1.4,1.6,1.5,1.2,0.3,0.2,
171,Goblin,Annual Reports, , ,, , , , , ,, , , , ,
172,Vishwaraj Sugar,Total Rev. Ann.,-0.6%,4.4%,461.5,461.6,552.2,619.4,470.3,427.1,371.8,287.4,231.5,285.1,338.5,280.5
173,Vishwaraj Sugar,Operating Rev. Ann.,-1.1%,4.2%,453.9,453.9,549.7,616.5,468.8,426.5,370.3,286.4,221.8,284,335.7,276.3
174,Vishwaraj Sugar,Other Income Ann.,71.8%,40.3%,7.6,7.6,2.5,2.9,1.5,0.6,1.4,1.1,9.7,1,2.9,4.3
175,Vishwaraj Sugar,Operating Exp. Ann.,5.6%,5.9%,442.2,442.2,483.5,550.3,375.3,364.4,332,261.6,198.3,238.2,302,254.5
176,Vishwaraj Sugar,Operating Exp. Ann.,5.6%,5.9%,442.2,442.2,483.5,550.3,375.3,364.4,332,261.6,198.3,238.2,302,254.5
177,Vishwaraj Sugar,Operating Profit Ann.,-50%,-21.2%,11.7,11.7,66.2,66.2,93.5,62,38.4,24.7,23.5,45.9,33.6,21.8
178,Vishwaraj Sugar,OPM Ann. %,-49.7%,-24.5%, ,2.53%,11.99%,10.69%,19.87%,14.52%,10.32%,8.60%,10.17%,16.09%,9.93%,7.77%
179,Vishwaraj Sugar,Total Exp. Ann.,5.2%,4.9%, ,492.6,529.9,593.8,423.1,414.9,388.3,311.3,232.3,274.6,331.3,280.7
