,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
0,Prince Pipes,Total ShareHolders Funds Ann.,7.6%,13.5%,"1,576.4","1,544.4","1,364","1,265.3","1,043.5",837.7,398.9,316,241.2,191.5,160.4
1,Prince Pipes,Equity Share Capital Ann.,0%,0.1%,110.6,110.6,110.6,110.6,110,110,90,90,45,48,48
2,Prince Pipes,Total Share Capital Ann.,0%,0.1%,110.6,110.6,110.6,110.6,110,110,90,90,45,48,48
3,Prince Pipes,Reserves Plus Surplus Ann.,8.3%,15.1%,"1,465.9","1,433.8","1,253.4","1,154.7",930.8,725.4,307.2,225.9,196.2,143.5,112.4
4,Prince Pipes,Total Reserves Plus Surplus Ann.,8.3%,15.1%,"1,465.9","1,433.8","1,253.4","1,154.7",930.8,725.4,307.2,225.9,196.2,143.5,112.4
5,Prince Pipes,Minority Interest Liability Ann.,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Prince Pipes,Total Non Current Liabilities Ann.,75.8%,10.8%,135.9,65.6,30.5,25,40.8,81.5,144.5,184,138.9,119.3,100.2
7,Prince Pipes,Deferred Tax Liabilities Ann.,16.2%,7.7%,19.3,19.1,13.7,12.3,13.3,13.3,14.9,14.2,13.1,11.5,10.8
8,Prince Pipes,Other LongTerm Liabilities Ann.,-,-18.1%,6.4,9.9,3.1,,15.9,17.4,16,16.7,15.5,14,13.8
9,Prince Pipes,Total Current Liabilities Ann.,-2.2%,4.3%,607,513.2,459.7,648.8,521.8,491.1,490.4,472.1,379.6,338.4,332.7
10,Prince Pipes,Trade Payables Ann.,-13.2%,7.6%,261.1,249.1,320.2,398.6,249.1,180.8,215.2,197,102.1,99.1,76.3
11,Prince Pipes,Other Current Liabilities Ann.,19.4%,9.8%,166.7,165.9,79.4,98,185.7,104.4,127.9,104.1,86.3,50.3,48.2
12,Prince Pipes,ST Provisions Ann.,17.8%,11.4%,3.6,2.6,2,2.2,1.7,2.1,1.7,1.2,2.4,3.1,2
