,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
0,Prince Pipes,Cash from Operating Act. Ann.,-,-,119,32.9,360.2,-19.5,307.3,-154.7,218.6,160.9,94.6,87.9,
1,Prince Pipes,PBT Ann.,-44.1%,-17.1%,58.9,243.8,164.8,336.9,299.2,150.6,111.3,95.3,85,40.7,22.4
2,Prince Pipes,Interest Ann.,-11.3%,-21.8%,9.7,6.5,11,13.9,20.7,33.2,36.3,35.4,35.8,35.3,37.4
3,Prince Pipes,Tax Ann.,-43.6%,-16.2%,15.7,61.3,43.4,87.5,77.3,38.1,29.2,21.8,19.8,9.6,5.2
4,Prince Pipes,Cash from Investing Act. Ann.,-,-,-234.7,-125.8,-148.1,20.5,-85.6,-110.7,-105.1,-170.3,-67.9,-50.8,
5,Prince Pipes,Cash from Financing Act. Ann.,75.4%,-14.1%,119.8,47.5,-122.2,22.2,-213.3,256.6,-104.9,6.9,-24.1,-37.1,
6,Prince Pipes,Net Cash Flow Ann.,-43.9%,-,4.1,-45.3,89.9,23.2,8.4,-8.8,8.7,-2.5,2.7,0,
7,Prince Pipes,Cash Plus Cash Eqv. Begin Of Year Ann.,108.5%,53.6%,76.1,121.5,31.6,8.4,0.1,8.9,0.2,2.7,0.1,8.6,
8,Prince Pipes,Cash Plus Cash Eqv. End Of Year Ann.,36.4%,280.9%,80.2,76.1,121.5,31.6,8.4,0.1,8.9,0.2,2.7,8.6,
9,DC Infotech and Comms,Cash from Operating Act. Ann.,-,-,-3.8,-7.6,-11.5,9.6,1.2,-6.5,0.4,0.9,-3.6,,
10,DC Infotech and Comms,PBT Ann.,53.8%,51.6%,20,15.6,9.5,5.5,3.2,2.5,1.1,1.8,1.3,,
11,DC Infotech and Comms,Interest Ann.,66.3%,29.4%,6.9,4.9,2.8,1.5,1.9,1.9,0.2,1.1,0.8,,
12,DC Infotech and Comms,Tax Ann.,54.2%,68.9%,5.5,4,2.4,1.5,1,0.4,0.3,0.5,0.4,,
13,DC Infotech and Comms,Cash from Investing Act. Ann.,-,-,-0,-0.4,-0,-1.4,-0.1,-0.5,-0,-1.2,0.5,,
14,DC Infotech and Comms,Cash from Financing Act. Ann.,-,9%,14.8,17,6,-0.5,-3.4,9.6,-0.5,0.6,3.4,,
15,DC Infotech and Comms,Net Cash Flow Ann.,12.3%,33.2%,10.9,9,-5.5,7.7,-2.3,2.6,-0.1,0.3,0.3,,
16,DC Infotech and Comms,Cash Plus Cash Eqv. Begin Of Year Ann.,112.1%,69%,12.4,3.5,8.9,1.3,3.5,0.9,1.3,0.8,0.5,,
17,DC Infotech and Comms,Cash Plus Cash Eqv. End Of Year Ann.,38%,46.2%,23.4,12.4,3.5,8.9,1.3,3.5,1.2,1.1,0.8,,
18,Ujjivan Small Finance,Cash from Operating Act. Ann.,-7.3%,-,"2,028.2","1,582.5","1,059.8","2,546.7","2,656.7",-425.9,477.7,"2,313.7","-6,974.7",,
19,Ujjivan Small Finance,PBT Ann.,-,15.1%,941.6,"1,702.2","1,467.2",-550.4,10.2,466.2,268.4,8.9,0.9,,
20,Ujjivan Small Finance,Interest Ann.,37.8%,20.5%,"2,718.1","2,267.7","1,467.1","1,039.2","1,077.5","1,070",725.2,606.9,109.4,,
21,Ujjivan Small Finance,Tax Ann.,-,13.1%,215.5,420.7,367.3,-135.8,1.9,116.3,69.2,2,0.9,,
22,Ujjivan Small Finance,Cash from Investing Act. Ann.,-,-,"-1,793.4",-854.2,"-2,095.7",-841,"-1,356.5",-88.9,-147.9,-100.6,-160.9,,
