,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,TTM,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
0,Prince Pipes,Total Rev. Ann.,-1.6%,9.1%,"2,537.7","2,537.7","2,584.8","2,719.4","2,662.3","2,089.1","1,642.6","1,579","1,321.1","1,249","1,010.1",959.3
1,Prince Pipes,Operating Exp. Ann.,1.8%,10.9%,"2,362.1","2,362.1","2,261.3","2,460.6","2,241.2","1,709.9","1,406.9","1,387.8","1,153.5","1,085.5",905.6,870.9
2,Prince Pipes,Operating Profit Ann.,-27%,-6.7%,161.8,161.8,307.4,250.3,415.6,361.6,228.8,184.1,161.6,161,103.4,86.3
3,Prince Pipes,OPM Ann. %,-25.8%,-14.5%,,6.38%,11.89%,9.20%,15.61%,17.31%,13.93%,11.66%,12.23%,12.89%,10.24%,8.99%
4,Prince Pipes,Total Exp. Ann.,2.2%,10.7%,,"2,478.8","2,359","2,554.6","2,325.4","1,790","1,492","1,467.7","1,225.8","1,153",969.4,936.9
5,Prince Pipes,EBITDA Ann.,-25.3%,-5.7%,,175.5,323.5,258.9,421.1,379.2,235.7,191.2,167.6,163.4,104.6,88.3
6,Prince Pipes,EBITDA Ann. margin %,-24.1%,-13.6%,,6.92%,12.52%,9.52%,15.82%,18.15%,14.35%,12.11%,12.69%,13.09%,10.35%,9.21%
7,Prince Pipes,Interest Ann.,-11.3%,-21.8%,9.7,9.7,6.5,11,13.9,20.7,33.2,36.3,35.4,35.8,35.3,37.4
8,Prince Pipes,Depr.,15%,15.5%,107,107,91.2,83,70.3,59.4,52,43.6,36.9,31.7,28.5,28.6
9,Prince Pipes,PBT Ann.,-44.1%,-17.1%,58.8,58.9,243.8,164.8,336.9,299.2,150.6,111.3,95.3,85,40.7,22.4
10,Prince Pipes,Tax Ann.,-43.6%,-16.2%,15.7,15.7,61.3,43.4,87.5,77.3,38.1,29.2,21.8,19.8,9.6,5.2
11,Prince Pipes,PAT Before ExtraOrdinary Items Ann.,-44.3%,-17.5%,,43.1,182.5,121.4,249.4,221.8,112.5,82.1,73.5,65.2,31.1,17.2
12,Prince Pipes,Net Profit Ann.,-44.3%,-17.5%,43.1,43.1,182.5,121.4,249.4,221.8,112.5,82.1,73.5,65.2,31.1,17.2
13,Prince Pipes,NPM Ann. %,-43.4%,-24.4%,,1.70%,7.10%,4.47%,9.38%,10.70%,6.87%,5.22%,5.58%,5.22%,3.08%,1.79%
14,Prince Pipes,EPS Adj. latest Ann.,-44.3%,-17.5%,,3.9,16.5,11,22.6,20.1,10.2,7.4,6.7,5.9,2.8,1.6
15,Prince Pipes,Result Notes,,,,,Notes,Notes,Notes,Notes,Notes,,,,,
16,Prince Pipes,Annual Reports,,,,,,,,,,,,,,
17,DC Infotech and Comms,Total Rev. Ann.,33.8%,30.4%,557.2,557.2,460.7,359.9,232.6,175.7,147.8,15.2,97.6,108.8,,
18,DC Infotech and Comms,Operating Exp. Ann.,33%,29.9%,529.7,529.7,439.6,346.9,225.2,170.4,143.1,13.8,94.6,106.7,,
19,DC Infotech and Comms,Operating Profit Ann.,52.9%,42.1%,26.1,26.1,20,12.7,7.3,4.9,4.5,1.4,2.9,1.9,,
20,DC Infotech and Comms,OPM Ann. %,14.1%,9.2%,,4.68%,4.35%,3.53%,3.15%,2.81%,3.01%,9.09%,3.01%,1.75%,,
21,DC Infotech and Comms,Total Exp. Ann.,33.2%,29.9%,,537.2,445,350.4,227.1,172.6,145.3,14.1,95.8,107.5,,
22,DC Infotech and Comms,EBITDA Ann.,54.9%,42.4%,,27.5,21.1,13,7.4,5.4,4.7,1.4,3,2.1,,
23,DC Infotech and Comms,EBITDA Ann. margin %,15.7%,9%,,4.94%,4.57%,3.61%,3.19%,3.04%,3.21%,9.22%,3.07%,1.95%,,
24,DC Infotech and Comms,Interest Ann.,66.3%,29.4%,6.9,6.9,4.9,2.8,1.5,1.9,1.9,0.2,1.1,0.8,,
25,DC Infotech and Comms,Depr.,14.5%,14.9%,0.6,0.6,0.6,0.7,0.4,0.3,0.3,0,0.1,0,,
26,DC Infotech and Comms,PBT Ann.,53.8%,51.6%,20,20,15.6,9.5,5.5,3.2,2.5,1.1,1.8,1.3,,
27,DC Infotech and Comms,Tax Ann.,54.2%,68.9%,5.5,5.5,4,2.4,1.5,1,0.4,0.3,0.5,0.4,,
28,DC Infotech and Comms,PAT Before ExtraOrdinary Items Ann.,53.6%,47.2%,,14.5,11.6,7.1,4,2.2,2.1,0.8,1.3,0.9,,
29,DC Infotech and Comms,Net Profit Ann.,53.6%,62%,14.5,14.5,11.6,7.1,4,2.2,1.3,0.8,1.3,0.9,,
30,DC Infotech and Comms,NPM Ann. %,14.8%,24.8%,,2.60%,2.52%,1.96%,1.72%,1.25%,0.86%,5.37%,1.33%,0.83%,,
31,DC Infotech and Comms,EPS Adj. latest Ann.,53.9%,62.5%,,10.2,8.2,5,2.8,1.6,0.9,0.6,0.9,0.6,,
32,DC Infotech and Comms,Result Notes,,,,Notes,Notes,Notes,,,,,,,,
33,DC Infotech and Comms,Annual Reports,,,,,,,,,,,,,,
34,Ujjivan Small Finance,Total Rev. Ann.,32.1%,18.9%,"7,294.2","7,200.6","6,463.9","4,754.2","3,126.1","3,116.9","3,025.8","2,037.6","1,579.4",226.1,,
