,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,TTM,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
0,Prince Pipes,Total ShareHolders Funds Ann.,7.6%,13.5%,,"1,576.4","1,544.4","1,364","1,265.3","1,043.5",837.7,398.9,316,241.2,191.5,160.4
1,Prince Pipes,Minority Interest Liability Ann.,-,-,,-,-,-,-,-,-,-,-,-,-,-
2,Prince Pipes,Total Non Current Liabilities Ann.,75.8%,10.8%,,135.9,65.6,30.5,25,40.8,81.5,144.5,184,138.9,119.3,100.2
3,Prince Pipes,Total Current Liabilities Ann.,-2.2%,4.3%,,607,513.2,459.7,648.8,521.8,491.1,490.4,472.1,379.6,338.4,332.7
4,Prince Pipes,Total Capital Plus Liabilities Ann.,6.2%,10.5%,,"2,319.4","2,123.2","1,854.2","1,939","1,606.1","1,410.2","1,033.9",972.1,759.6,649.2,593.3
5,Prince Pipes,Fixed Assets Ann.,13.6%,14.6%,,980.3,832.9,704.1,668.2,579.5,496.1,424.9,351.5,285.5,249.4,228.5
6,Prince Pipes,Total Non Current Assets Ann.,13.2%,12.8%,,"1,033.6",876.7,729,712.3,620.4,565.5,500,428.8,295.4,257.5,234.1
7,Prince Pipes,Total Current Assets Ann.,1.6%,8.8%,,"1,285.8","1,246.5","1,125.2","1,226.7",985.7,844.7,533.9,543.3,464.2,391.7,359.2
8,Prince Pipes,Total Assets Ann.,6.2%,10.5%,,"2,319.4","2,123.2","1,854.2","1,939","1,606.1","1,410.2","1,033.9",972.1,759.6,649.2,593.3
9,Prince Pipes,Contingent Liabilities plus Commitments Ann.,-,-,,-,212.6,48.1,102.9,183,126.1,117.4,48.7,17.3,12.1,2.8
10,Prince Pipes,Bonus Equity Share Capital Ann.,-,-,,-,81,81,81,81,81,81,81,36,36,36
11,Prince Pipes,Non Current Investments Unquoted Book Value Ann.,-,-,,-,0.3,,0.1,0.1,0,,0.7,0.6,0.1,
12,Prince Pipes,Current Investments Unquoted Book Value Ann.,-,-,,-,,,,,,,,,,
13,DC Infotech and Comms,Total ShareHolders Funds Ann.,47.5%,34.7%,,72.2,50.6,29.5,22.5,18.5,16.3,4.2,11.6,10.9,,
14,DC Infotech and Comms,Minority Interest Liability Ann.,-,-,,-,-,-,-,-,-,-,-,-,,
15,DC Infotech and Comms,Total Non Current Liabilities Ann.,-46%,-37.1%,,0.6,0.4,2.5,3.8,6.3,6.1,8.8,2,3.3,,
16,DC Infotech and Comms,Total Current Liabilities Ann.,32%,29.4%,,173.6,156.7,108,75.5,48.1,47.9,41.2,34.4,22.1,,
17,DC Infotech and Comms,Total Capital Plus Liabilities Ann.,34.3%,28.5%,,246.4,207.7,140,101.7,72.8,70.3,54.3,47.8,36.3,,
18,DC Infotech and Comms,Fixed Assets Ann.,14.5%,27.5%,,2.7,1.9,1.4,1.8,0.7,0.8,0.8,1.1,0.1,,
19,DC Infotech and Comms,Total Non Current Assets Ann.,17%,19.7%,,3.2,2.2,1.7,2,1.2,1.3,1.1,1.3,0.2,,
20,DC Infotech and Comms,Total Current Assets Ann.,34.6%,28.7%,,243.2,205.5,138.4,99.7,71.6,68.9,53.2,46.5,36,,
21,DC Infotech and Comms,Total Assets Ann.,34.3%,28.5%,,246.4,207.7,140,101.7,72.8,70.3,54.3,47.8,36.3,,
22,DC Infotech and Comms,Contingent Liabilities plus Commitments Ann.,-,-,,-,0.4,0.4,1.7,0.9,0.9,0.3,0.3,0.3,,
23,DC Infotech and Comms,Bonus Equity Share Capital Ann.,-,-,,-,6,,,,,,,,,
24,DC Infotech and Comms,Non Current Investments Unquoted Book Value Ann.,-,-,,-,,,,,,,,,,
25,DC Infotech and Comms,Current Investments Unquoted Book Value Ann.,-,-,,-,,,,,,,,,,
26,Ujjivan Small Finance,Total ShareHolders Funds Ann.,29.5%,13.8%,,"6,083.4","5,613.5","4,209.1","2,802.6","3,218.8","3,187.7","1,819.6","1,646.9","1,640.1",,
27,Ujjivan Small Finance,Minority Interest Liability Ann.,-,-,,-,-,-,-,-,-,-,-,-,,
28,Ujjivan Small Finance,Total Non Current Liabilities Ann.,-,-,,-,-,-,-,-,-,-,-,-,,
29,Ujjivan Small Finance,Total Current Liabilities Ann.,14.8%,18.2%,,"1,129.9","1,175.8",928.6,746.1,778.6,489.8,377.1,200.9,297.7,,
30,Ujjivan Small Finance,Total Capital Plus Liabilities Ann.,26.4%,21%,,"47,689.2","40,422.2","33,316.9","23,604.5","20,380.5","18,411.2","13,742.2","9,473.2","8,435.6",,
31,Ujjivan Small Finance,Fixed Assets Ann.,22.4%,8.7%,,456.9,426.7,282.9,249.4,280.7,300.5,284.5,198.3,139.8,,
32,Ujjivan Small Finance,Total Non Current Assets Ann.,-,-,,-,-,-,-,-,-,-,-,-,,
33,Ujjivan Small Finance,Total Current Assets Ann.,22.7%,17.7%,,"35,502.3","30,229.5","24,523.7","19,202.1","17,583.3","15,714.6","11,931.1","8,042.4","6,849.2",,
