,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,TTM,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
0,Prince Pipes,Cash from Operating Act. Ann.,-,-,,119,32.9,360.2,-19.5,307.3,-154.7,218.6,160.9,94.6,87.9,
1,Prince Pipes,Cash from Investing Act. Ann.,-,-,,-234.7,-125.8,-148.1,20.5,-85.6,-110.7,-105.1,-170.3,-67.9,-50.8,
2,Prince Pipes,Cash from Financing Act. Ann.,75.4%,-14.1%,,119.8,47.5,-122.2,22.2,-213.3,256.6,-104.9,6.9,-24.1,-37.1,
3,Prince Pipes,Net Cash Flow Ann.,-43.9%,-,,4.1,-45.3,89.9,23.2,8.4,-8.8,8.7,-2.5,2.7,0.0,
4,DC Infotech and Comms,Cash from Operating Act. Ann.,-,-,,-3.8,-7.6,-11.5,9.6,1.2,-6.5,0.4,0.9,-3.6,,
5,DC Infotech and Comms,Cash from Investing Act. Ann.,-,-,,-0,-0.4,-0,-1.4,-0.1,-0.5,-0,-1.2,0.5,,
6,DC Infotech and Comms,Cash from Financing Act. Ann.,-,9%,,14.8,17,6,-0.5,-3.4,9.6,-0.5,0.6,3.4,,
7,DC Infotech and Comms,Net Cash Flow Ann.,12.3%,33.2%,,10.9,9,-5.5,7.7,-2.3,2.6,-0.1,0.3,0.3,,
8,Ujjivan Small Finance,Cash from Operating Act. Ann.,-7.3%,-,,"2,028.2","1,582.5","1,059.8","2,546.7","2,656.7",-425.9,477.7,"2,313.7","-6,974.7",,
9,Ujjivan Small Finance,Cash from Investing Act. Ann.,-,-,,"-1,793.4",-854.2,"-2,095.7",-841,"-1,356.5",-88.9,-147.9,-100.6,-160.9,,
10,Ujjivan Small Finance,Cash from Financing Act. Ann.,-,-12.5%,,398.2,-518.7,"1,186.4","-1,483.8",-705.5,776,286.7,"-2,438.6","7,822.1",,
11,Ujjivan Small Finance,Net Cash Flow Ann.,41.8%,19.4%,,633,209.6,150.5,222,594.7,261.1,616.6,-225.4,686.5,,
12,Ascom Leasing,Cash from Operating Act. Ann.,-54.5%,-,,0.5,-0.2,1.6,5.3,-2.1,-3.9,3.5,-3.6,-0.3,-5.4,
13,Ascom Leasing,Cash from Investing Act. Ann.,-,-,,-0.5,-2.6,,-0.2,-0.1,-0.1,-0.2,-0,-0.3,,
14,Ascom Leasing,Cash from Financing Act. Ann.,-,-5.3%,,4.2,1.9,-3.5,-3.8,-0.7,5.5,1.3,3.4,0.7,5.9,
15,Ascom Leasing,Net Cash Flow Ann.,47.8%,22.9%,,4.2,-0.9,-2,1.3,-2.8,1.5,4.6,-0.2,0.1,0.5,
16,CSB Bank,Cash from Operating Act. Ann.,-,-,,"-5,255.5","1,783","2,211.5",-857.8,"1,373.8",-506.9,-893.2,26.8,395.5,-165.5,-356.2
17,CSB Bank,Cash from Investing Act. Ann.,140.9%,-,,"1,903.9","-1,439.2",-724.3,136.2,"-1,231.4",-43.7,-22.1,-17.8,-17,-12.7,-16.2
18,CSB Bank,Cash from Financing Act. Ann.,86.8%,49%,,"3,788.9",974.4,"-1,224.2",581.3,632.4,516.3,673.9,-5.1,106.4,105.9,96.7
19,CSB Bank,Net Cash Flow Ann.,-,-,,437.3,"1,318.2",263,-140.3,774.7,-34.3,-241.5,4,484.9,-72.3,-275.7
20,Mangalam Global,Cash from Operating Act. Ann.,-,-,,-39.1,65.3,-78.7,-37.9,-32.6,-28.1,-49.1,0.6,-0.2,,
21,Mangalam Global,Cash from Investing Act. Ann.,-43.9%,-,,4,0.8,-38.6,22.6,-11.7,-8.9,-9.5,-1.6,-3.2,,
22,Mangalam Global,Cash from Financing Act. Ann.,32%,-1.8%,,34.3,-65.9,117.3,14.9,44.1,37.5,58.6,1,3.4,,
23,Mangalam Global,Net Cash Flow Ann.,-,-,,-0.8,0.2,-0,-0.4,-0.1,0.6,-0.1,-0,0,,
24,Goblin,Cash from Operating Act. Ann.,-,-,,8.2,-0.8,1.4,-7.7,-2.6,-7.9,-1.8,2.6,-0.5,0.9,
25,Goblin,Cash from Investing Act. Ann.,97.2%,-,,2.3,-0.5,-3,0.3,0,-3.3,-0.9,-0,-0.1,-0.8,
26,Goblin,Cash from Financing Act. Ann.,-,-,,-9.8,1.3,1.6,7.5,1.9,11.6,2.2,-2.2,0.7,0.0,
27,Goblin,Net Cash Flow Ann.,-,11.8%,,0.7,-0,0,-0,-0.7,0.4,-0.5,0.4,0,0.2,
28,Vishwaraj Sugar,Cash from Operating Act. Ann.,12.7%,0.6%,,50.4,145.7,52.1,35.2,55.9,49,25.1,-54.6,61.7,30.0,25.5
29,Vishwaraj Sugar,Cash from Investing Act. Ann.,-,-,,-82.6,-124.7,-18.4,-32.8,-8.5,-27.4,-18.5,-6.2,-45.2,-5.8,-49.9
30,Vishwaraj Sugar,Cash from Financing Act. Ann.,-,-,,40.7,-22.4,-44.3,-38.1,-6.2,-15.7,-12.2,55.5,-55.5,7.5,33.5
31,Vishwaraj Sugar,Net Cash Flow Ann.,-,7.6%,,8.5,-1.4,-10.6,-35.7,41.2,5.9,-5.6,-5.3,-38.9,31.7,9.1
32,Gensol Engineering,Cash from Operating Act. Ann.,-,-,,,-98.1,58.9,-14.8,6.1,-17.8,2.5,,,,
33,Gensol Engineering,Cash from Investing Act. Ann.,-,-,,,-666.7,-614.3,-52.4,0.2,-0.4,-0.7,,,,
34,Gensol Engineering,Cash from Financing Act. Ann.,-,-,,,858.7,673.4,66.5,-4.1,20.4,-0.2,,,,
35,Gensol Engineering,Net Cash Flow Ann.,249.5%,128.7%,,,93.9,118,-0.6,2.2,2.3,1.5,,,,
36,Goldkart Jewels,Cash from Operating Act. Ann.,157.1%,-,,3.4,1.6,4.8,0.2,-1.1,-9.2,2,-8.7,1.1,2.1,0.6
37,Goldkart Jewels,Cash from Investing Act. Ann.,-,-,,-0.7,-0,-1.2,-0.1,-0,-0.1,,,,,-0.1
38,Goldkart Jewels,Cash from Financing Act. Ann.,-,-,,-2.3,-1.4,-3.7,0.2,1.1,9.2,-2,8.7,-1,-2.0,-0.7
39,Goldkart Jewels,Net Cash Flow Ann.,0%,-,,0.3,0.3,-0.1,0.3,-0,-0.1,0,-0,0.1,0.1,-0.2
40,Indian Railway Catering,Cash from Operating Act. Ann.,16.8%,15.5%,,833.7,882.2,810.1,523.7,247.3,405.3,499,23.6,338.2,287.7,68.7
41,Indian Railway Catering,Cash from Investing Act. Ann.,-,-,,-239.5,-215.4,-315.1,-242.4,-452.9,12.2,-352.7,40.2,93.6,7.0,-45.8
42,Indian Railway Catering,Cash from Financing Act. Ann.,-,-,,-909.8,-404.3,-434.4,-258.2,-46.8,-280.2,-179.4,-56.8,-136,-31.4,-16.9
43,Indian Railway Catering,Net Cash Flow Ann.,-,-,,-315.6,262.5,60.6,23.2,-252.4,137.3,-33.1,7,295.9,263.3,6
44,Galactico Corporate,Cash from Operating Act. Ann.,37.2%,-,,18.6,-4.4,-0.9,7.2,2,-3.7,1.6,1.5,-1.2,,
45,Galactico Corporate,Cash from Investing Act. Ann.,-,-,,-2.3,-2.6,0.4,-6.9,-0.5,-0.5,-0.8,-5.3,-5.3,,
46,Galactico Corporate,Cash from Financing Act. Ann.,-,-,,-16.9,7.6,0.6,-0.2,-1.7,3.4,,3.6,6.8,0.0,
47,Galactico Corporate,Net Cash Flow Ann.,-,-,,-0.7,0.5,0.1,0.1,-0.1,-0.8,0.9,-0.2,0.3,0.0,
48,Misquita Engineering,Cash from Operating Act. Ann.,-,-,,-3,-3.1,1.2,-0,-0.6,0.4,0.6,0.2,-2.1,,
49,Misquita Engineering,Cash from Investing Act. Ann.,-,-,,-0.4,-0.1,-0.3,0.2,0.8,-0.3,-0.6,-0.8,0.1,,
50,Misquita Engineering,Cash from Financing Act. Ann.,-,-,,2.2,4.4,-0.8,-0.2,-0.2,-0.2,-0,0.7,2.1,,
51,Misquita Engineering,Net Cash Flow Ann.,-,-,,-1.2,1.2,,-0,0,-0,0,0,,,
52,Shiv Aum Steels,Cash from Operating Act. Ann.,16.5%,2.2%,,6.8,10.7,6.4,4.3,4.5,6.1,-5.7,-17.4,-0.3,,
53,Shiv Aum Steels,Cash from Investing Act. Ann.,-,-,,2.9,-2.2,-1.3,-4.3,1.6,-0,-1.2,-1.3,11.6,,
54,Shiv Aum Steels,Cash from Financing Act. Ann.,-,-,,-3.5,-6.9,-5,-4.2,-4.4,-5.7,7.1,18.6,-11.8,,
55,Shiv Aum Steels,Net Cash Flow Ann.,-,83.3%,,6.2,1.5,0.1,-4.1,1.6,0.3,0.2,-0,-0.5,,
56,Novateor Research,Cash from Operating Act. Ann.,-,-,,-0.9,-1,-0.5,-1,-0.3,-3.4,-0.1,0.1,0,,
57,Novateor Research,Cash from Investing Act. Ann.,-,-,,-0.2,-0.3,0.3,0.9,-0.1,-0.1,-2,,-0,,
58,Novateor Research,Cash from Financing Act. Ann.,-,-20.9%,,1.3,1.1,0.4,-0.1,0.3,4.2,2,-0,,,
59,Novateor Research,Net Cash Flow Ann.,-,-22.2%,,0.2,-0.1,0.2,-0.2,-0,0.7,,0,-0,,
60,Transpact Enterprises,Cash from Operating Act. Ann.,-,-,,-0.5,0.4,0,-0,0,-1.1,-0.1,-0.1,-0.1,-0.1,
61,Transpact Enterprises,Cash from Investing Act. Ann.,-,-,,0.1,,,,,,-0.1,-0.1,-0.1,,
62,Transpact Enterprises,Cash from Financing Act. Ann.,-,-,,,,-0,,0,1.1,0.1,0.3,0.1,0.1,
63,Transpact Enterprises,Net Cash Flow Ann.,-,-,,-0.4,0.4,-0,-0,0,,-0.1,0.1,,,
64,Alphalogic Techsys,Cash from Operating Act. Ann.,-,-,,2.5,0.5,-6.4,-4.4,2.4,-1.7,1.6,0.5,,,
65,Alphalogic Techsys,Cash from Investing Act. Ann.,-,-,,-0.2,-10.1,-1.9,-1.8,-1.2,-5.8,-3.1,0.9,,,
66,Alphalogic Techsys,Cash from Financing Act. Ann.,-,-,,-2.3,9.5,8.3,6.3,-1.1,7,1.9,-1.4,,,
67,Alphalogic Techsys,Net Cash Flow Ann.,-,-,,0,-0.1,,,,-0.4,0.4,-0,,,
68,Sterling and Wilson,Cash from Operating Act. Ann.,-,-,,37.9,538.4,"-1,829.2","-1,260.6",-9.6,-271.7,149.1,347.3,,,
69,Sterling and Wilson,Cash from Investing Act. Ann.,-,-,,-75,-4.7,-11.8,500.3,225.5,961.9,-934.5,-50.9,,,
70,Sterling and Wilson,Cash from Financing Act. Ann.,-31.4%,-,,317,-286,"1,431.3",982.2,-275,-818.3,"1,055.9",-257.2,,,
71,Sterling and Wilson,Net Cash Flow Ann.,8%,-,,279.9,247.7,-409.7,221.9,-59.1,-128.1,270.5,39.2,,,
72,Spandana Sphoorty,Cash from Operating Act. Ann.,66.5%,-,,"3,783","-2,503.4","-2,052.5",819.9,"-1,618.2",-53.7,-649.8,"-1,855.1",-58.9,113.9,-181.9
73,Spandana Sphoorty,Cash from Investing Act. Ann.,-,-,,-200.2,-10.4,-177.6,44.9,514.4,-485.2,-59.3,-5.6,-1.2,-9.6,-7
74,Spandana Sphoorty,Cash from Financing Act. Ann.,-,-,,"-3,761.3","3,089","2,316.5","-1,271.6","2,180.9",447.1,752,"1,673.1",314.9,-128.1,222.2
75,Spandana Sphoorty,Net Cash Flow Ann.,-,-,,-178.6,575.2,86.4,-406.8,"1,077.2",-91.8,42.9,-187.6,254.8,-23.8,33.3
76,Affle,Cash from Operating Act. Ann.,-4.4%,9.9%,,51.3,8.2,59.4,58.8,15.3,32,17.5,17.4,5.8,5.8,0.4
77,Affle,Cash from Investing Act. Ann.,-,-,,111.6,-689.6,-79.4,-472.8,-51.6,-68.4,-22.3,-1.4,-5.7,-7.8,0.5
78,Affle,Cash from Financing Act. Ann.,-65.2%,-21.9%,,24.8,739.9,-8.3,590.4,-0.7,85.2,-0.4,-8.1,-2.2,7.2,-0.1
79,Affle,Net Cash Flow Ann.,2.1%,30.9%,,187.7,58.5,-28.3,176.4,-37.1,48.8,-5.2,7.9,-2.1,5.2,0.8
80,Wonder Electricals,Cash from Operating Act. Ann.,-,-,,-21.6,-17.4,2.4,-3.9,-6.2,6.7,22.3,-8.5,8.1,,
81,Wonder Electricals,Cash from Investing Act. Ann.,-,-,,-13.3,-5.9,-5.2,-4.5,-9.4,-7.1,-12,-3.7,-2.3,,
82,Wonder Electricals,Cash from Financing Act. Ann.,54.4%,28.3%,,30.9,27.2,3,8.4,7.1,8.9,-10.3,12.4,-6.3,,
83,Wonder Electricals,Net Cash Flow Ann.,-,-,,-4,3.9,0.1,0,-8.6,8.5,0,0.1,-0.5,,
84,SK Intl Export,Cash from Operating Act. Ann.,-,-,,-0.5,-1.4,-0.1,-1.7,0.7,-1.3,0.3,,,,
85,SK Intl Export,Cash from Investing Act. Ann.,-,-,,1.9,0.5,0,-0.4,0.1,-2.4,-0.1,,,,
86,SK Intl Export,Cash from Financing Act. Ann.,-,-,,-0.1,0,-0,-0,-0.1,3.9,0.1,,,,
87,SK Intl Export,Net Cash Flow Ann.,-,47.6%,,1.4,-0.9,-0.1,-2.2,0.7,0.2,0.4,,,,
88,City Pulse Multiplex,Cash from Operating Act. Ann.,-,-,,4.5,0.4,0.3,-0.2,0.1,-1.6,0.5,-0.2,-0.1,,
89,City Pulse Multiplex,Cash from Investing Act. Ann.,-,-,,-2.4,-0.3,-0,-0,,-2.4,-2,-0.2,0.4,,
90,City Pulse Multiplex,Cash from Financing Act. Ann.,-,-,,-0.4,0.5,-0,0,-0.2,4.6,1.4,0.4,-0.2,,
91,City Pulse Multiplex,Net Cash Flow Ann.,-,23.2%,,1.7,0.6,0.2,-0.3,-0.1,0.6,-0.1,0.1,0.1,,
92,AB Infrabuild,Cash from Operating Act. Ann.,-,-,,-23.6,9.8,15.3,0.8,0.2,-8.9,1,1.7,3.7,10.6,3
93,AB Infrabuild,Cash from Investing Act. Ann.,-,-,,-3.2,-39.4,-13,-1.3,0.9,0.2,0.9,-0.8,-0.3,0.4,0.3
94,AB Infrabuild,Cash from Financing Act. Ann.,297.4%,45.9%,,50.2,37.9,-2.9,0.8,-1.9,7.6,-3.3,-1,-3.3,-12.8,-4.6
95,AB Infrabuild,Net Cash Flow Ann.,389.1%,-,,23.4,8.2,-0.5,0.2,-0.8,-1.1,-1.5,-0.1,0.2,-1.8,-1.3
96,Murae Organisor,Cash from Operating Act. Ann.,-,-,,-323,-15.9,0.3,2.6,-5.8,-3.5,-0.5,-3.5,-0.3,,
97,Murae Organisor,Cash from Investing Act. Ann.,-,-,,-0,-0.5,,0.1,2.9,-3.5,-0.3,-0.1,-0,,
98,Murae Organisor,Cash from Financing Act. Ann.,-,120.9%,,357.8,28.1,-0.3,-2.6,2.9,6.8,0.9,3.4,0.1,,
99,Murae Organisor,Net Cash Flow Ann.,604.1%,-,,34.9,11.7,-0,0.1,0,-0.1,0.1,-0.2,-0.2,,
100,IndiaMART InterMESH,Cash from Operating Act. Ann.,14.7%,18.4%,,614,545.1,463.6,406.8,326.3,264.2,258.7,182.9,59.1,28.7,13.6
101,IndiaMART InterMESH,Cash from Investing Act. Ann.,-,-,,-491.6,180.8,-315.6,-339,"-1,342.5",-235.9,-282.5,-170.3,-37.6,-145.6,-10.8
102,IndiaMART InterMESH,Cash from Financing Act. Ann.,-,-,,-134.8,-694.9,-143.1,-57.5,"1,038.3",-51.3,14.4,15.3,7.3,132.5,-0.1
103,IndiaMART InterMESH,Net Cash Flow Ann.,-,-,,-12.5,31,4.8,10.3,22.1,-23,-9.3,27.9,28.9,15.7,2.7
104,SBC Exports,Cash from Operating Act. Ann.,-,-,,-69.5,2.7,-11.8,5,-1.8,3.9,-7.3,1.2,0.2,0.5,
105,SBC Exports,Cash from Investing Act. Ann.,-,-,,-4.6,-27.3,-5,-4.5,-1.4,-1.9,-2.7,-0.9,-0.2,-0.5,
106,SBC Exports,Cash from Financing Act. Ann.,642.6%,-,,81.9,24.8,17.4,0.2,2.2,-0,10,0.4,0.2,0.1,
107,SBC Exports,Net Cash Flow Ann.,124.3%,30.3%,,7.9,0.2,0.6,0.7,-0.9,2.1,,0.8,0.3,0.2,
108,Anand Rayons,Cash from Operating Act. Ann.,8.8%,-,,11.2,16.3,5,8.7,0.2,-14.3,-36.1,1,-3.6,-3.3,
109,Anand Rayons,Cash from Investing Act. Ann.,-,-,,-24.3,1.8,-0.2,-0.2,0.4,0.5,-1.2,,-0,-0.2,
110,Anand Rayons,Cash from Financing Act. Ann.,-,9.8%,,21.7,-7.9,-2.3,-8.6,-0.5,13.6,37.5,-1.1,3.8,3.0,
111,Anand Rayons,Net Cash Flow Ann.,-,-,,8.6,10.3,2.5,-0,0.1,-0.2,0.2,-0.1,0.2,-0.5,
112,Parshva Enterprises,Cash from Operating Act. Ann.,-,-,,3.4,1.7,0.1,-3.4,-0.1,-2.3,-1.2,-1.6,,,
113,Parshva Enterprises,Cash from Investing Act. Ann.,-,-,,-3.4,-4.2,-0,0.4,0,-1.3,-0.2,-0.2,,,
114,Parshva Enterprises,Cash from Financing Act. Ann.,-,-,,-0.1,2.7,-0.1,2.8,-0,3.6,1.1,2,,,
115,Parshva Enterprises,Net Cash Flow Ann.,-,-,,-0.2,0.2,-0.1,-0.3,-0.1,0.1,-0.2,0.2,,,
116,Suich Industries,Cash from Operating Act. Ann.,,,,,,,,,,,-3.5,2.8,7.0,
117,Suich Industries,Cash from Investing Act. Ann.,,,,,,,,,,,-0.7,-0.9,-15.9,
118,Suich Industries,Cash from Financing Act. Ann.,,,,,,,,,,,2.9,-4.7,5.8,
119,Suich Industries,Net Cash Flow Ann.,,,,,,,,,,,-1.3,-2.9,-3.1,
