,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,TTM,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
0,Prince Pipes,BVSH Ann.,7.6%,13.4%,,142.6,139.7,123.4,114.4,94.8,76.1,44.3,35.1,53.6,39.9,33.4
1,Prince Pipes,RoA Ann. %,-47.6%,-25.3%,,1.85%,8.59%,6.54%,12.86%,13.81%,7.97%,7.94%,7.56%,8.57%,4.79%,2.89%
2,Prince Pipes,ROE Ann. %,-48.3%,-27.3%,,2.73%,11.81%,8.90%,19.71%,21.25%,13.43%,20.58%,23.26%,27.02%,16.24%,10.70%
3,Prince Pipes,ROCE Ann. %,-47.2%,-27.5%,,4.00%,14.43%,12.61%,27.18%,29.49%,19.99%,27.16%,26.14%,34.67%,24.46%,22.94%
4,Prince Pipes,Profitability Ratio,,,,,,,,,,,,,,
5,Prince Pipes,Liquidity Ratio,,,,,,,,,,,,,,
6,Prince Pipes,Valuation Ratio,,,,,,,,,,,,,,
7,Prince Pipes,Total Debt to Total Equity Ann.,26%,-7.8%,,0.2,0.1,0,0.1,0.1,0.3,0.6,1,1.2,1.4,1.7
8,DC Infotech and Comms,BVSH Ann.,39.6%,13.4%,,50.9,38.9,24.6,18.7,30.8,27.1,11.8,10,10,,
9,DC Infotech and Comms,RoA Ann. %,14.4%,26.7%,,5.88%,5.58%,5.05%,3.93%,3.02%,1.80%,1.50%,2.71%,2.49%,,
10,DC Infotech and Comms,ROE Ann. %,4%,20.8%,,20.07%,22.94%,23.96%,17.83%,11.91%,7.81%,19.29%,11.26%,8.32%,,
11,DC Infotech and Comms,ROCE Ann. %,11.5%,13.2%,,37.03%,40.21%,38.27%,26.69%,20.44%,19.92%,10.47%,21.39%,14.81%,,
12,DC Infotech and Comms,Profitability Ratio,,,,,,,,,,,,,,
13,DC Infotech and Comms,Liquidity Ratio,,,,,,,,,,,,,,
14,DC Infotech and Comms,Valuation Ratio,,,,,,,,,,,,,,
15,DC Infotech and Comms,Total Debt to Total Equity Ann.,5.3%,-10.2%,,0.7,0.7,0.8,0.6,0.9,1.2,4.3,0.9,0.8,,
16,Ujjivan Small Finance,BVSH Ann.,27.6%,12.7%,,31.4,29.1,20.5,15.1,17.5,17.3,11.3,10.1,10,,
17,Ujjivan Small Finance,RoA Ann. %,-,-4.4%,,1.52%,3.17%,3.30%,-1.75%,0.04%,1.90%,1.44%,0.07%,,,
18,Ujjivan Small Finance,ROE Ann. %,-,0.4%,,11.93%,22.82%,27.43%,-15.92%,0.27%,11.71%,12.30%,0.47%,,,
19,Ujjivan Small Finance,ROCE Ann. %,9.9%,-0.1%,,9.47%,10.66%,9.11%,7.13%,9.63%,9.53%,7.74%,9.99%,1.41%,,
20,Ujjivan Small Finance,Profitability Ratio,,,,,,,,,,,,,,
21,Ujjivan Small Finance,Liquidity Ratio,,,,,,,,,,,,,,
22,Ujjivan Small Finance,Valuation Ratio,,,,,,,,,,,,,,
23,Ujjivan Small Finance,Total Debt to Total Equity Ann.,-10.6%,-17.4%,,0.5,0.4,0.7,0.7,1.1,1.3,2.6,2.7,4.4,,
24,Ascom Leasing,BVSH Ann.,-1.5%,5.8%,,42.5,38.1,33.9,44.5,38.2,32.1,25,18.9,11,10.1,
25,Ascom Leasing,RoA Ann. %,-10.5%,-7.3%,,8.56%,10.05%,11.74%,11.95%,12.20%,12.53%,12.76%,27.41%,5.97%,0.65%,
26,Ascom Leasing,ROE Ann. %,-9.9%,-11%,,10.26%,11.11%,12.49%,14.02%,16.03%,18.34%,24.21%,41.29%,7.94%,0.77%,
27,Ascom Leasing,ROCE Ann. %,-11%,-9.2%,,13.12%,14.59%,17.03%,18.62%,18.67%,21.31%,31.13%,32.28%,10.42%,1.62%,
28,Ascom Leasing,Profitability Ratio,,,,,,,,,,,,,,
29,Ascom Leasing,Liquidity Ratio,,,,,,,,,,,,,,
30,Ascom Leasing,Valuation Ratio,,,,,,,,,,,,,,
31,Ascom Leasing,Total Debt to Total Equity Ann.,26%,-12.9%,,0.2,0.1,0,0.1,0.3,0.4,0.7,0.5,0.2,0.1,
32,CSB Bank,BVSH Ann.,21.6%,20%,,259.2,209.1,175.9,144,116.7,104,148.2,90.1,103.1,101.3,126.6
33,CSB Bank,RoA Ann. %,-11.7%,83.3%,,1.24%,1.57%,1.87%,1.80%,0.93%,0.06%,-1.16%,-0.61%,,-0.95%,-0.33%
34,CSB Bank,ROE Ann. %,-10.4%,79.9%,,13.20%,15.62%,17.93%,18.35%,10.78%,0.70%,-15.49%,-13.35%,0.18%,-20.59%,-6.95%
35,CSB Bank,ROCE Ann. %,2.3%,0%,,6.46%,6.32%,5.94%,6.03%,6.79%,6.46%,5.56%,6.31%,7.36%,7.52%,8.04%
36,CSB Bank,Profitability Ratio,,,,,,,,,,,,,,
37,CSB Bank,Liquidity Ratio,,,,,,,,,,,,,,
38,CSB Bank,Valuation Ratio,,,,,,,,,,,,,,
39,CSB Bank,Total Debt to Total Equity Ann.,14.5%,24.6%,,1.2,0.5,0.3,0.8,0.7,0.4,,0.1,0.1,0.1,0.1
40,Mangalam Global,BVSH Ann.,-41.4%,-29.9%,,6.1,9.3,8,30.3,26.6,36,140,100,24.3,0.8,
41,Mangalam Global,RoA Ann. %,36.8%,1.7%,,4.15%,5.13%,3.10%,1.62%,3.20%,3.82%,2.96%,3.65%,1.53%,0.42%,
42,Mangalam Global,ROE Ann. %,32.2%,12.1%,,11.46%,14.08%,10.69%,4.96%,7.92%,6.48%,6.73%,6.24%,96.90%,367.98%,
43,Mangalam Global,ROCE Ann. %,26.7%,12.7%,,28.47%,25.28%,19.02%,13.99%,15.77%,15.64%,17.16%,4.54%,2.20%,73.52%,
44,Mangalam Global,Profitability Ratio,,,,,,,,,,,,,,
45,Mangalam Global,Liquidity Ratio,,,,,,,,,,,,,,
46,Mangalam Global,Valuation Ratio,,,,,,,,,,,,,,
47,Mangalam Global,Total Debt to Total Equity Ann.,-2.9%,12.9%,,1.1,1.2,2,1.2,1.2,0.6,1.2,0.4,56.5,836.6,
48,Goblin,BVSH Ann.,12.5%,4.3%,,31.2,27.7,22.9,21.9,23.4,25.3,120.9,91,66.2,60.5,
49,Goblin,RoA Ann. %,-,-8.8%,,2.96%,2.48%,1.92%,-3.02%,-3.83%,4.69%,6.59%,6.53%,1.96%,1.87%,
50,Goblin,ROE Ann. %,-,-7.5%,,5.61%,4.51%,4.33%,-6.98%,-8.02%,8.29%,25.18%,27.60%,8.62%,7.84%,
51,Goblin,ROCE Ann. %,208.4%,-10%,,9.09%,7.84%,6.77%,0.31%,1.69%,15.38%,33.56%,45.05%,26.84%,34.04%,
52,Goblin,Profitability Ratio,,,,,,,,,,,,,,
53,Goblin,Liquidity Ratio,,,,,,,,,,,,,,
54,Goblin,Valuation Ratio,,,,,,,,,,,,,,
55,Goblin,Total Debt to Total Equity Ann.,-35.2%,-12.9%,,0.3,0.6,0.8,1.1,0.8,0.6,2.1,2.4,3,2.8,
56,Vishwaraj Sugar,BVSH Ann.,-44.4%,-26.2%,,12.9,14.3,13.6,75.2,60.2,59.1,61.2,66.2,67.3,65.4,66.5
57,Vishwaraj Sugar,RoA Ann. %,-,-,,-4.52%,1.81%,-3.22%,7.81%,1.16%,-1.17%,-2.44%,-0.68%,1.11%,0.14%,-0.09%
58,Vishwaraj Sugar,ROE Ann. %,-,-,,-13.20%,5.40%,-9.17%,21.28%,3.66%,-3.55%,-8.33%,-1.86%,2.60%,0.37%,-0.25%
59,Vishwaraj Sugar,ROCE Ann. %,-67.9%,-38.5%,,0.70%,13.78%,14.11%,21.17%,14.42%,7.96%,4.35%,7.10%,13.86%,9.77%,5.94%
60,Vishwaraj Sugar,Profitability Ratio,,,,,,,,,,,,,,
61,Vishwaraj Sugar,Liquidity Ratio,,,,,,,,,,,,,,
62,Vishwaraj Sugar,Valuation Ratio,,,,,,,,,,,,,,
63,Vishwaraj Sugar,Total Debt to Total Equity Ann.,2.5%,-1.4%,,1.4,1.4,1.4,1.3,1.5,1.5,1.5,1.3,1,1.1,1
64,Gensol Engineering,BVSH Ann.,23.1%,34.1%,,,82.7,171.8,42.5,44.3,42.8,19.1,,,,
65,Gensol Engineering,RoA Ann. %,-17.6%,-31.5%,,,2.55%,2.50%,5.34%,4.56%,2.98%,16.85%,,,,
66,Gensol Engineering,ROE Ann. %,27.8%,-17.3%,,,18.28%,11.89%,23.87%,8.76%,6.65%,47.16%,,,,
67,Gensol Engineering,ROCE Ann. %,-2%,-27.9%,,,12.41%,6.10%,14.75%,13.20%,12.48%,63.53%,,,,
68,Gensol Engineering,Profitability Ratio,,,,,,,,,,,,,,
69,Gensol Engineering,Liquidity Ratio,,,,,,,,,,,,,,
70,Gensol Engineering,Valuation Ratio,,,,,,,,,,,,,,
71,Gensol Engineering,Total Debt to Total Equity Ann.,178.1%,112.2%,,,4.3,2.5,1.8,0.2,0.2,0.1,,,,
72,Goldkart Jewels,BVSH Ann.,33%,18.9%,,29.9,21.3,13.6,12.7,12.7,12.6,13.4,13,58.1,57.3,57.1
73,Goldkart Jewels,RoA Ann. %,189.4%,82.7%,,5.09%,1.92%,4.05%,0.21%,0.34%,0.25%,1.74%,1.23%,0.50%,0.13%,0.38%
74,Goldkart Jewels,ROE Ann. %,152.5%,76.1%,,6.60%,2.72%,6.59%,0.41%,0.60%,0.39%,3.97%,2.92%,1.33%,0.36%,1.12%
75,Goldkart Jewels,ROCE Ann. %,21%,9.9%,,11.98%,8.51%,8.24%,6.77%,7.07%,7.48%,20.74%,16.56%,16.12%,20.58%,25.67%
76,Goldkart Jewels,Profitability Ratio,,,,,,,,,,,,,,
77,Goldkart Jewels,Liquidity Ratio,,,,,,,,,,,,,,
78,Goldkart Jewels,Valuation Ratio,,,,,,,,,,,,,,
79,Goldkart Jewels,Total Debt to Total Equity Ann.,-24.6%,-12.9%,,0.3,0.4,0.6,0.7,0.7,0.6,1.3,1.4,1.6,1.7,1.9
80,Indian Railway Catering,BVSH Ann.,-27%,-11.2%,,45.8,40.4,31,117.7,91.7,83,66.9,236.3,194.6,271,222.1
81,Indian Railway Catering,RoA Ann. %,3.8%,3.5%,,19.33%,18.24%,19.76%,17.29%,5.99%,16.26%,11.89%,9.54%,11.75%,13.12%,11.38%
82,Indian Railway Catering,ROE Ann. %,0.6%,-2.1%,,35.88%,34.40%,40.58%,35.22%,12.94%,39.80%,28.81%,23.22%,27.58%,34.79%,29.40%
