,Company,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain,Issue type
0,DC Infotech and Comms,254.9,361.4,27 Dec `19,10.8 Cr,₹ 45,-,1.4x,1.8x,1.6x,45.5,45.2,1.1%,466.4%,SME
1,Ascom Leasing ,86.0,100.8,06 Dec `19,6.3 Cr,₹ 30,-,1.9x,1.0x,1.5x,30.3,30.3,0.8%,330.3%,SME
2,Mangalam Global ,16.9,556.9,28 Nov `19,21.6 Cr,₹ 51,-,2.1x,0.5x,1.3x,53.0,51.5,3.9%,397.1%,SME
3,Goblin,16.9,23.4,16 Oct `19,15.2 Cr,₹ 52,-,1.9x,0.9x,1.4x,57.9,57.9,11.3%,-67.5%,SME
4,Gensol Engineering,48.9,185.8,15 Oct `19,17.9 Cr,₹ 83,-,2.3x,0.4x,1.3x,85.4,64.7,2.9%,135.6%,SME
5,Goldkart Jewels,202.3,339.7,15 Oct `19,4.5 Cr,₹ 10,-,1.7x,0.7x,1.2x,11.2,11.4,11.5%,1923.5%,SME
6,Galactico Corporate ,2.4,36.2,09 Oct `19,3.7 Cr,₹ 23,-,1.8x,0.6x,1.2x,23.2,0.9,0.9%,-91.0%,SME
7,Misquita Engineering,85.0,39.8,04 Oct `19,1.9 Cr,₹ 27,-,2.5x,0.7x,1.6x,27.9,29.2,3.1%,214.8%,SME
8,Shiv Aum Steels,302.0,410.7,01 Oct `19,15.8 Cr,₹ 44,-,2.3x,0.4x,1.3x,44.3,44.1,0.6%,586.4%,SME
9,Novateor Research,51.8,25.0,13 Sep `19,4.5 Cr,₹ 24,-,1.8x,0.7x,1.2x,24.0,24.1,0.0%,115.7%,SME
10,Transpact Enterprises,241.3,9.3,06 Sep `19,1.4 Cr,₹ 130,-,0.9x,1.4x,1.1x,132.5,131.0,1.9%,85.6%,SME
11,Alphalogic Techsys,95.4,597.3,06 Sep `19,6.2 Cr,₹ 84,-,2.0x,0.5x,1.2x,83.0,84.3,-1.2%,2073.1%,SME
12,Wonder Electricals,167.0,2237.9,01 Aug `19,19.8 Cr,₹ 89,-,2.2x,0.3x,1.3x,93.0,89.0,4.5%,2903.6%,SME
13,SK Intl Export,21.5,15.7,15 Jul `19,4.0 Cr,₹ 20,-,2.0x,0.5x,1.3x,19.2,20.0,-4.0%,7.3%,SME
14,City Pulse Multiplex,2202.1,2348.3,11 Jul `19,4.0 Cr,₹ 30,-,2.7x,3.3x,3.0x,28.5,29.6,-5.0%,7240.2%,SME
15,AB Infrabuild,179.4,1146.3,11 Jul `19,12.8 Cr,₹ 29,-,1.2x,0.7x,1.0x,29.0,29.1,0.0%,518.8%,SME
16,Murae Organisor,0.9,165.4,04 Jul `19,6.7 Cr,₹ 36,-,1.7x,1.5x,1.6x,36.0,36.0,0.0%,-50.6%,SME
17,SBC Exports,17.1,816.7,04 Jul `19,6.6 Cr,₹ 22,-,1.9x,0.8x,1.4x,22.0,1.2,0.0%,3400.0%,SME
18,Anand Rayons,292.0,621.9,02 Jul `19,12.7 Cr,₹ 27,-,1.9x,0.5x,1.2x,28.3,27.2,4.6%,981.5%,SME
19,Parshva Enterprises,214.9,219.0,01 Jul `19,3.6 Cr,₹ 45,-,1.6x,0.7x,1.2x,45.9,15.1,1.9%,377.7%,SME
20,Suich Industries,4.3,6.6,13 Jun `19,30.9 Cr,₹ 75,-,1.3x,1.5x,1.4x,68.5,71.3,-8.7%,-94.2%,SME
21,Cian Healthcare,3.5,8.8,23 May `19,37.9 Cr,₹ 61,-,1.9x,0.6x,1.3x,62.0,61.5,1.6%,-94.6%,SME
22,Par Drugs & Chemicals,110.2,135.6,16 May `19,8.5 Cr,₹ 51,-,3.5x,8.0x,5.7x,52.9,50.5,3.7%,116.0%,SME
23,Artemis Electricals,24.9,626.3,14 May `19,42.0 Cr,₹ 60,-,1.7x,0.5x,1.1x,70.0,69.8,16.7%,315.8%,SME
24,Evans Electric,170.0,93.3,13 May `19,1.9 Cr,₹ 52,-,2.6x,0.6x,1.6x,52.2,54.8,0.4%,1207.7%,SME
25,White Organic Retail,5.5,18.0,10 May `19,15.5 Cr,₹ 63,-,2.0x,0.7x,1.4x,64.2,10.7,1.9%,-91.3%,SME
26,GKP Printing,6.1,13.5,08 May `19,6.6 Cr,₹ 32,-,1.6x,1.6x,1.6x,34.2,17.5,6.9%,-80.9%,SME
27,V R Films & Studios,14.7,16.1,30 Apr `19,2.3 Cr,₹ 61,-,1.5x,1.6x,1.5x,62.0,60.0,1.6%,92.7%,SME
28,Jinaams Dress,2.4,5.3,25 Apr `19,42.5 Cr,₹ 59,-,1.3x,1.1x,1.2x,59.0,56.1,0.0%,-96.0%,SME
29,KHFM Hospitality ,87.2,182.1,12 Apr `19,10.6 Cr,₹ 36,-,1.3x,1.5x,1.3x,36.5,36.1,1.4%,142.2%,SME
30,Osia Hyper Retail,14.3,253.1,05 Apr `19,39.8 Cr,₹ 252,-,1.7x,0.6x,1.1x,255.0,267.6,1.2%,-9.2%,SME
31,Northern Spirits,200.0,321.0,04 Apr `19,18.5 Cr,₹ 43,-,1.8x,0.8x,1.3x,43.7,43.1,1.6%,365.1%,SME
32,Roopshri Resorts,53.5,31.2,01 Apr `19,3.6 Cr,₹ 20,-,1.4x,0.8x,1.1x,20.3,20.3,1.3%,167.6%,SME
33,Embassy Office Parks REIT,400.0,37915.7,01 Apr `19,4750.0 Cr,₹ 300,2.1x,3.1x,-,2.6x,300.0,314.1,0.0%,33.3%,SME
34,Artedz Fabs,18.7,16.0,29 Mar `19,8.3 Cr,₹ 36,-,1.3x,1.8x,1.5x,40.0,41.6,11.1%,-48.1%,SME
35,Humming Bird Edu,94.0,57.6,28 Mar `19,2.1 Cr,₹ 132,-,1.9x,0.9x,1.4x,132.0,132.0,0.0%,612.1%,SME
36,Ashapuri Ornament,6.5,218.3,27 Mar `19,29.3 Cr,₹ 51,-,2.1x,0.3x,1.2x,50.0,51.0,-2.0%,28.4%,SME
37,Aartech Solonics,68.5,217.6,27 Mar `19,7.2 Cr,₹ 34,-,2.4x,1.6x,2.0x,34.0,23.1,-0.1%,805.8%,SME
38,Mahip Industries,3.4,6.6,12 Mar `19,16.6 Cr,₹ 32,-,1.5x,1.5x,1.5x,32.0,33.6,0.0%,-89.3%,SME
39,Gleam Fabmat,10.6,10.6,05 Mar `19,3.1 Cr,₹ 10,-,2.7x,0.8x,1.8x,9.0,8.6,-10.0%,6.1%,SME
40,Kranti Industries,89.9,114.7,28 Feb `19,8.6 Cr,₹ 37,-,1.3x,1.3x,1.3x,35.3,30.8,-4.7%,143.0%,SME
41,Mindpool Tech,76.0,32.2,28 Feb `19,3.6 Cr,₹ 30,-,2.5x,1.6x,2.1x,30.0,28.5,0.0%,153.2%,SME
42,Jonjua Overseas,10.1,23.3,25 Feb `19,1.3 Cr,₹ 10,-,0.8x,0.1x,0.5x,12.0,9.4,20.0%,68.4%,SME
43,Anmol,16.3,92.8,21 Feb `19,10.2 Cr,₹ 33,-,1.6x,1.6x,1.6x,33.6,34.1,1.8%,147.1%,SME
44,Ritco Logistics,287.4,813.9,07 Feb `19,48.2 Cr,₹ 73,-,1.8x,1.0x,1.4x,77.4,73.5,6.0%,293.6%,SME
45,Surani Steel Tubes,110.0,171.0,06 Feb `19,12.9 Cr,₹ 52,-,1.7x,1.2x,1.6x,53.1,53.3,2.1%,111.5%,SME
0,Net Pix Shorts Digital ,32.0,10.2,02 Dec `20,2.7 Cr,₹ 30,-,1.7x,1.9x,1.8x,30.1,30.1,0.5%,6.7%,SME
1,Shine Fashions,57.4,17.8,02 Nov `20,1.6 Cr,₹ 40,-,1.8x,1.6x,1.7x,40.5,39.5,1.3%,2196.8%,SME
2,Bodhi Tree Multimedia,8.4,151.1,21 Oct `20,3.7 Cr,₹ 95,-,1.4x,1.8x,1.6x,95.0,95.8,0.0%,340.5%,SME
3,Sigma Solve,387.0,397.7,19 Oct `20,5.0 Cr,₹ 45,-,1.1x,2.1x,1.6x,46.0,45.1,2.2%,2050.0%,SME
4,Atal Realtech,19.5,216.8,15 Oct `20,10.8 Cr,₹ 72,-,2.0x,0.4x,1.2x,70.2,66.7,-2.5%,306.9%,SME
5,Likhitha Infra,272.9,1076.8,15 Oct `20,61.2 Cr,₹ 120,22.0x,1.5x,23.7x,9.5x,130.0,136.5,8.3%,354.9%,SME
6,G M Polyplast,78.5,105.7,14 Oct `20,8.1 Cr,₹ 159,-,2.1x,1.1x,1.6x,160.0,167.5,0.6%,245.9%,SME
7,AAA Technologies,89.1,114.3,13 Oct `20,10.2 Cr,₹ 42,-,2.5x,2.3x,2.4x,44.5,43.6,6.0%,112.1%,SME
8,Atam Valves,102.5,117.5,06 Oct `20,4.5 Cr,₹ 40,-,2.5x,3.4x,2.9x,40.0,39.0,0.0%,412.5%,SME
9,SecMark Consultancy,141.8,147.7,01 Oct `20,15.0 Cr,₹ 135,-,1.1x,1.4x,1.2x,134.0,127.3,-0.7%,162.7%,SME
10,Advait Infratech,2030.0,2195.6,30 Sep `20,6.9 Cr,₹ 51,-,1.5x,2.3x,1.9x,52.0,51.5,1.9%,7860.8%,SME
11,Trekkingtoes.com,29.2,4.7,28 Aug `20,4.5 Cr,₹ 105,-,0.3x,2.8x,1.6x,105.0,99.8,0.0%,-72.2%,SME
