,Company,Subscritpion Status,Minimum Investment,Lot size,Issue size,No. of Shares,Price Range,Post issue promoter holding,Sector,Industry,Nse_symbol_Bse_Code
0,Prince Pipes,2.21 x Oversubscribed,"₹14,952",84,"₹5,000.0 M - ₹5,028.2 M",28.2 M,₹177 - ₹178,74.33 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : PLASTIC PRODUCTS,NSE: PRINCEPIPE | BSE: 542907
1,DC Infotech and Comms,1.56 x Oversubscribed,"₹135,000",3000,₹108.0 M,2.4 M,₹45,60 %,SECTOR : HARDWARE TECHNOLOGY & EQUIPMENT,INDUSTRY : IT NETWORKING EQUIPMENT,NSE: DCI | BSE: 543636
2,Ujjivan Small Finance,165.66 x Oversubscribed,"₹14,800",400,"₹7,500.0 M - ₹7,708.3 M",208.3 M,₹36 - ₹37,87.98 %,SECTOR : BANKING AND FINANCE,INDUSTRY : MICROFINANCE INSTITUTIONS,NSE: UJJIVANSFB | BSE: 542904
3,Ascom Leasing,1.47 x Oversubscribed,"₹120,000",4000,₹63.2 M,2.1 M,₹30,73.01 %,SECTOR : BANKING AND FINANCE,INDUSTRY : FINANCE (INCLUDING NBFCS),NSE: ASCOM
4,CSB Bank,86.91 x Oversubscribed,"₹14,625",75,"₹4,057.2 M - ₹4,099.3 M",21.0 M,₹193 - ₹195,87.88 %,SECTOR : BANKING AND FINANCE,INDUSTRY : BANKS,NSE: CSBBANK | BSE: 542867
5,Mangalam Global,1.28 x Oversubscribed,"₹102,000",2000,₹215.7 M,4.2 M,₹51,73.66 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,NSE: MGEL | BSE: 544273
6,Goblin,1.37 x Oversubscribed,"₹104,000",2000,₹149.1 M - ₹152.0 M,2.9 M,₹51 - ₹52,72 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,BSE: 542850
7,Vishwaraj Sugar,1.12 x Oversubscribed,"₹14,400",240,₹550.0 M - ₹600.0 M,10.0 M,₹55 - ₹60,73.37 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : SUGAR,NSE: VISHWARAJ | BSE: 542852
8,Gensol Engineering,1.32 x Oversubscribed,"₹132,800",1600,₹175.0 M - ₹179.3 M,2.2 M,₹81 - ₹83,73.67 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,BSE: 542851
9,Goldkart Jewels,1.21 x Oversubscribed,"₹100,000",10000,₹45.0 M,4.5 M,₹10,73.19 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,NSE: GOLDKART
10,Indian Railway Catering,111.91 x Oversubscribed,"₹12,800",40,"₹6,350.4 M - ₹6,451.2 M",20.2 M,₹315 - ₹320,87.4 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : TRAVEL SUPPORT SERVICES,NSE: IRCTC | BSE: 542830
11,Galactico Corporate,1.16 x Oversubscribed,"₹138,000",6000,₹37.0 M,1.6 M,₹23,71.94 %,SECTOR : BANKING AND FINANCE,INDUSTRY : OTHER FINANCIAL SERVICES,BSE: 542802
12,Misquita Engineering,1.62 x Oversubscribed,"₹108,000",4000,₹19.3 M,716.0 K,₹27,73.42 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,BSE: 542801
13,Shiv Aum Steels,1.34 x Oversubscribed,"₹132,000",3000,₹158.4 M,3.6 M,₹44,73.53 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: SHIVAUM
14,Novateor Research,1.24 x Oversubscribed,"₹144,000",6000,₹44.9 M,1.9 M,₹24,61.28 %,SECTOR : FMCG,INDUSTRY : PERSONAL PRODUCTS,BSE: 542771
