,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
0,Prince Pipes,BVSH Ann.,7.6%,13.4%,142.6,139.7,123.4,114.4,94.8,76.1,44.3,35.1,53.6,39.9,33.4
1,Prince Pipes,RoA Ann. %,-47.6%,-25.3%,1.85%,8.59%,6.54%,12.86%,13.81%,7.97%,7.94%,7.56%,8.57%,4.79%,2.89%
2,Prince Pipes,ROE Ann. %,-48.3%,-27.3%,2.73%,11.81%,8.90%,19.71%,21.25%,13.43%,20.58%,23.26%,27.02%,16.24%,10.70%
3,Prince Pipes,ROCE Ann. %,-47.2%,-27.5%,4.00%,14.43%,12.61%,27.18%,29.49%,19.99%,27.16%,26.14%,34.67%,24.46%,22.94%
4,Prince Pipes,Profitability Ratio, , , , , , , , , , , , , 
5,Prince Pipes,EBITDA Ann. Margin %,-24%,-13.6%,6.95%,12.59%,9.54%,15.84%,18.30%,14.41%,12.16%,12.74%,13.11%,10.36%,9.22%
6,Prince Pipes,EBIT Ann. Margin %,-41%,-24.7%,2.71%,9.04%,6.48%,13.20%,15.43%,11.23%,9.39%,9.93%,10.57%,7.53%,6.24%
7,Prince Pipes,PBT Ann. Margin %,-43.1%,-24%,2.33%,9.48%,6.08%,12.67%,14.44%,9.20%,7.08%,7.24%,6.81%,4.03%,2.33%
8,Prince Pipes,NPM Ann. %,-43.4%,-24.4%,1.70%,7.10%,4.47%,9.38%,10.70%,6.87%,5.22%,5.58%,5.22%,3.08%,1.79%
9,Prince Pipes,Asset Turnover Ann. %,-9.8%,-3.3%,1.1,1.3,1.4,1.5,1.4,1.3,1.6,1.5,1.8,1.6,1.6
10,Prince Pipes,Liquidity Ratio, , , , , , , , , , , , , 
11,Prince Pipes,Current Ratio Ann.,3.4%,4.3%,2.1,2.4,2.5,1.9,1.9,1.7,1.1,1.2,1.2,1.2,1.1
12,Prince Pipes,Quick Ratio Ann.,6.9%,1.9%,1.1,1.6,1.5,0.9,1.5,1,0.7,0.6,0.8,0.9,0.7
13,Prince Pipes,Dividend Payout to NP Ann.,14.5%,24.6%,0.3,,0.2,0.2,0.1,0.1,-,-,-,-,-
14,Prince Pipes,Earning Retention Ann. %,-,-,-,,,84.56%,92.57%,88.22%,,,,,
15,Prince Pipes,Cash Earning Retention Ann. %,-,-,-,,,87.96%,94.14%,91.94%,,,,,
16,Prince Pipes,Cash Earning Retention Ann. %,-,-,-,,,87.96%,94.14%,91.94%,,,,,
17,Prince Pipes,Valuation Ratio, , , , , , , , , , , , , 
18,Prince Pipes,EnterpriseValue Ann.,-25.9%,21.1%,"2,894.3","6,111.5","5,925.6","7,104.3","4,452.2","1,111.3",,,,,
19,Prince Pipes,EV Per Net Sales Ann.,-23.7%,11.4%,1.2,2.4,2.2,2.7,2.2,0.7,-,-,-,-,-
20,Prince Pipes,,-32.4%,5.5%,1.7,3.9,4.4,5.5,4.4,1.3,-,-,-,-,-
21,Prince Pipes,EV Per EBITDA Ann.,-0.8%,28.6%,16.5,18.9,22.9,16.9,11.7,4.7,-,-,-,-,-
22,Prince Pipes,Market Cap Per Sales Ann.,-24.9%,9.5%,1.1,2.4,2.2,2.6,2.2,0.7,-,-,-,-,-
23,Prince Pipes,Retention Ratio Ann. %,-,-,-,,,84.55%,92.56%,88.21%,,,,,
24,Prince Pipes,Earnings Yield Ann.,-,-,0,0,0,0,0.1,0.1,,,,,
25,Prince Pipes,Total Debt to Total Equity Ann.,26%,-7.8%,0.2,0.1,0,0.1,0.1,0.3,0.6,1,1.2,1.4,1.7
26,DC Infotech and Comms,BVSH Ann.,39.6%,13.4%,50.9,38.9,24.6,18.7,30.8,27.1,11.8,10,10,,
27,DC Infotech and Comms,RoA Ann. %,14.4%,26.7%,5.88%,5.58%,5.05%,3.93%,3.02%,1.80%,1.50%,2.71%,2.49%,,
28,DC Infotech and Comms,ROE Ann. %,4%,20.8%,20.07%,22.94%,23.96%,17.83%,11.91%,7.81%,19.29%,11.26%,8.32%,,
29,DC Infotech and Comms,ROCE Ann. %,11.5%,13.2%,37.03%,40.21%,38.27%,26.69%,20.44%,19.92%,10.47%,21.39%,14.81%,,
30,DC Infotech and Comms,Profitability Ratio, , , , , , , , , , , ,,
31,DC Infotech and Comms,EBITDA Ann. Margin %,15.8%,9%,4.95%,4.58%,3.61%,3.19%,3.05%,3.21%,9.23%,3.07%,1.95%,,
32,DC Infotech and Comms,EBIT Ann. Margin %,17.2%,10%,4.85%,4.46%,3.40%,3.01%,2.88%,3.01%,8.96%,2.96%,1.93%,,
33,DC Infotech and Comms,PBT Ann. Margin %,15.3%,16.3%,3.60%,3.40%,2.63%,2.35%,1.80%,1.69%,7.43%,1.84%,1.18%,,
34,DC Infotech and Comms,NPM Ann. %,14.8%,24.8%,2.60%,2.52%,1.96%,1.72%,1.25%,0.86%,5.37%,1.33%,0.83%,,
35,DC Infotech and Comms,Asset Turnover Ann. %,-2.5%,0.8%,2.5,2.6,3,2.7,2.5,2.4,0.3,2.3,-,,
36,DC Infotech and Comms,Liquidity Ratio, , , , , , , , , , , ,,
37,DC Infotech and Comms,Current Ratio Ann.,2.5%,0%,1.4,1.3,1.3,1.3,1.5,1.4,1.3,1.4,1.6,,
38,DC Infotech and Comms,Quick Ratio Ann.,7.7%,4.6%,1,0.9,0.8,0.8,0.8,0.8,0.6,0.7,0.9,,
39,DC Infotech and Comms,Dividend Payout to NP Ann.,-,-,,,,,-,-,-,-,-,,
40,DC Infotech and Comms,Earning Retention Ann. %,-,-,-,,,,,,,,,,
41,DC Infotech and Comms,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
42,DC Infotech and Comms,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
43,DC Infotech and Comms,Valuation Ratio, , , , , , , , , , , ,,
44,DC Infotech and Comms,EnterpriseValue Ann.,89.8%,57.6%,379.3,261.7,137,55.5,44.5,39,,,,,
45,DC Infotech and Comms,EV Per Net Sales Ann.,51.8%,18.5%,0.7,0.6,0.4,0.2,0.3,0.3,-,-,-,,
46,DC Infotech and Comms,,30.6%,28.5%,4.9,4.7,4,2.2,1.6,1.4,-,-,-,,
47,DC Infotech and Comms,EV Per EBITDA Ann.,22.5%,11%,13.8,12.4,10.6,7.5,8.3,8.2,-,-,-,,
48,DC Infotech and Comms,Market Cap Per Sales Ann.,44.2%,24.6%,0.6,0.5,0.3,0.2,0.2,0.2,-,-,-,,
49,DC Infotech and Comms,Retention Ratio Ann. %,-,-,-,,,,,,,,,,
50,DC Infotech and Comms,Earnings Yield Ann.,-,-,0,0.1,0.1,0.1,0.1,0.1,,,,,
51,DC Infotech and Comms,Total Debt to Total Equity Ann.,5.3%,-10.2%,0.7,0.7,0.8,0.6,0.9,1.2,4.3,0.9,0.8,,
52,Ujjivan Small Finance,BVSH Ann.,27.6%,12.7%,31.4,29.1,20.5,15.1,17.5,17.3,11.3,10.1,10,,
53,Ujjivan Small Finance,RoA Ann. %,-,-4.4%,1.52%,3.17%,3.30%,-1.75%,0.04%,1.90%,1.44%,0.07%,,,
54,Ujjivan Small Finance,ROE Ann. %,-,0.4%,11.93%,22.82%,27.43%,-15.92%,0.27%,11.71%,12.30%,0.47%,,,
55,Ujjivan Small Finance,ROCE Ann. %,9.9%,-0.1%,9.47%,10.66%,9.11%,7.13%,9.63%,9.53%,7.74%,9.99%,1.41%,,
56,Ujjivan Small Finance,Profitability Ratio, , , , , , , , , , , ,,
57,Ujjivan Small Finance,EBITDA Ann. Margin %,-,-,-,-,-,-,-,-,-,-,-,,
58,Ujjivan Small Finance,EBIT Ann. Margin %,-,-,-,-,-,-,-,-,-,-,-,,
59,Ujjivan Small Finance,PBT Ann. Margin %,-,-,-,-,-,-,-,-,-,-,-,,
60,Ujjivan Small Finance,NPM Ann. %,-,-2.5%,11.42%,22.57%,26.40%,-14.73%,0.29%,12.94%,10.87%,0.46%,0.01%,,
61,Ujjivan Small Finance,Asset Turnover Ann. %,0%,-12.9%,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,,
62,Ujjivan Small Finance,Liquidity Ratio, , , , , , , , , , , ,,
63,Ujjivan Small Finance,Current Ratio Ann.,-,-,-,-,-,-,-,-,-,-,-,,
64,Ujjivan Small Finance,Quick Ratio Ann.,-,-,-,-,-,-,-,-,-,-,-,,
65,Ujjivan Small Finance,Dividend Payout to NP Ann.,-,-,0.4,0.1,0.1,,,,-,-,-,,
66,Ujjivan Small Finance,Earning Retention Ann. %,-,-,-,-,-,-,-,-,-,-,-,,
67,Ujjivan Small Finance,Cash Earning Retention Ann. %,-,-,-,-,-,-,-,-,-,-,-,,
68,Ujjivan Small Finance,Cash Earning Retention Ann. %,-,-,-,-,-,-,-,-,-,-,-,,
69,Ujjivan Small Finance,Valuation Ratio, , , , , , , , , , , ,,
70,Ujjivan Small Finance,EnterpriseValue Ann.,27.7%,19%,"43,998.9","39,672.8","31,021.2","21,131.4","20,142.9","18,444.2",,,,,
71,Ujjivan Small Finance,EV Per Net Sales Ann.,-2.7%,0.3%,6.9,7,7.5,7.5,7.2,6.8,,,,,
72,Ujjivan Small Finance,,3.2%,-7.2%,1.1,1.5,1.2,1,1.8,1.6,-,-,-,,
73,Ujjivan Small Finance,EV Per EBITDA Ann.,-,-,-,-,-,-,-,-,-,-,-,,
74,Ujjivan Small Finance,Market Cap Per Sales Ann.,-,-,-,-,-,-,-,-,-,-,-,,
75,Ujjivan Small Finance,Retention Ratio Ann. %,-15.6%,-9.7%,60.05%,94.66%,86.67%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,
76,Ujjivan Small Finance,Earnings Yield Ann.,-,0%,0.1,0.2,0.2,-0.2,,0.1,,,,,
77,Ujjivan Small Finance,Total Debt to Total Equity Ann.,-10.6%,-17.4%,0.5,0.4,0.7,0.7,1.1,1.3,2.6,2.7,4.4,,
78,Ascom Leasing,BVSH Ann.,-1.5%,5.8%,42.5,38.1,33.9,44.5,38.2,32.1,25,18.9,11,10.1,
79,Ascom Leasing,RoA Ann. %,-10.5%,-7.3%,8.56%,10.05%,11.74%,11.95%,12.20%,12.53%,12.76%,27.41%,5.97%,0.65%,
80,Ascom Leasing,ROE Ann. %,-9.9%,-11%,10.26%,11.11%,12.49%,14.02%,16.03%,18.34%,24.21%,41.29%,7.94%,0.77%,
81,Ascom Leasing,ROCE Ann. %,-11%,-9.2%,13.12%,14.59%,17.03%,18.62%,18.67%,21.31%,31.13%,32.28%,10.42%,1.62%,
82,Ascom Leasing,Profitability Ratio, , , , , , , , , , , , ,
