,Company,Issue type,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain
0,Prince Pipes ,MainBoard,365.5,4041.0,30 Dec `19,500.0 Cr,₹ 178,3.5x,1.2x,1.9x,2.2x,160.0,166.6,-10.1%,105.3%
1,Ujjivan Small Finance ,MainBoard,47.2,9127.1,12 Dec `19,750.0 Cr,₹ 37,110.7x,473.0x,49.0x,165.7x,58.8,55.9,58.8%,27.5%
2,CSB Bank,MainBoard,408.6,7088.6,04 Dec `19,409.7 Cr,₹ 195,62.2x,164.7x,44.5x,86.9x,275.0,300.1,41.0%,109.5%
3,Vishwaraj Sugar ,MainBoard,9.9,215.4,16 Oct `19,60.0 Cr,₹ 60,1.0x,1.8x,0.6x,1.1x,61.2,60.4,2.0%,-83.5%
4,Indian Railway Catering,MainBoard,783.5,62680.0,14 Oct `19,645.1 Cr,₹ 320,108.8x,354.5x,14.8x,111.9x,644.0,728.6,101.3%,144.8%
5,Sterling and Wilson,MainBoard,308.4,7201.0,20 Aug `19,2880.9 Cr,₹ 780,1.0x,0.9x,0.3x,0.8x,700.0,725.4,-10.3%,-60.5%
6,Spandana Sphoorty ,MainBoard,281.3,2005.8,19 Aug `19,1200.9 Cr,₹ 856,3.1x,0.6x,0.1x,1.1x,825.0,847.8,-3.6%,-67.1%
7,Affle,MainBoard,1991.9,28003.8,08 Aug `19,459.0 Cr,₹ 745,55.3x,198.7x,10.9x,86.5x,929.9,873.6,24.8%,167.4%
8,IndiaMART InterMESH,MainBoard,2574.0,15452.3,04 Jul `19,475.6 Cr,₹ 973,30.8x,62.1x,14.1x,36.2x,1180.0,1302.5,21.3%,429.1%
9,Neogen Chemicals,MainBoard,1601.0,4223.7,08 May `19,132.3 Cr,₹ 215,30.5x,113.9x,15.9x,41.1x,251.0,263.6,16.7%,644.6%
10,Polycab,MainBoard,6690.0,100688.6,18 Apr `19,1346.0 Cr,₹ 538,92.4x,110.4x,4.5x,51.9x,633.0,654.8,17.7%,1143.5%
11,Metropolis Healthcare,MainBoard,1847.0,9567.8,15 Apr `19,1204.3 Cr,₹ 880,8.9x,3.0x,2.2x,5.8x,960.0,959.5,9.1%,109.9%
12,Rail Vikas Nigam,MainBoard,389.9,81305.4,11 Apr `19,481.6 Cr,₹ 19,1.4x,0.8x,2.9x,1.8x,19.0,19.1,0.0%,1952.4%
13,MSTC,MainBoard,540.3,3803.7,29 Mar `19,212.0 Cr,₹ 128,1.1x,2.1x,3.0x,1.5x,111.0,114.2,-13.3%,322.1%
14,Chalet Hotels,MainBoard,871.6,19043.6,07 Feb `19,1641.2 Cr,₹ 280,4.7x,1.1x,0.0x,1.6x,291.0,290.4,3.9%,211.3%
15,Xelpmoc Design ,MainBoard,95.0,140.2,04 Feb `19,23.0 Cr,₹ 66,1.2x,7.7x,2.6x,3.3x,56.0,59.9,-15.2%,44.0%
16,Mrs. Bectors Food,MainBoard,1400.9,8601.3,24 Dec `20,540.5 Cr,₹ 288,176.8x,620.9x,29.3x,198.0x,501.0,595.5,74.0%,386.4%
17,Restaurant Brands Asia,MainBoard,81.4,4739.0,14 Dec `20,810.0 Cr,₹ 60,86.6x,354.1x,68.2x,156.7x,115.3,138.4,92.3%,35.7%
18,Gland Pharma,MainBoard,1873.8,30872.1,20 Nov `20,6479.6 Cr,₹ 1500,6.4x,0.5x,0.2x,2.1x,1710.0,1820.5,14.0%,24.9%
19,Equitas Small Finance Bank,MainBoard,64.0,7294.5,02 Nov `20,517.6 Cr,₹ 33,3.9x,0.2x,2.1x,1.9x,31.0,32.8,-6.1%,93.8%
20,UTI Asset Management ,MainBoard,1312.9,16812.8,12 Oct `20,2159.9 Cr,₹ 554,3.3x,0.9x,2.3x,2.3x,476.2,476.6,-14.0%,137.0%
21,Mazagon Dock Shipbuilders,MainBoard,3285.0,132510.3,12 Oct `20,443.7 Cr,₹ 145,89.7x,678.9x,35.6x,157.4x,216.3,173.0,49.1%,4431.0%
22,Angel One,MainBoard,2793.3,25292.2,05 Oct `20,600.0 Cr,₹ 306,5.7x,0.7x,4.3x,3.9x,275.0,275.9,-10.1%,812.8%
23,Computer Age Mgmt,MainBoard,4153.2,20547.9,01 Oct `20,2244.3 Cr,₹ 1230,73.2x,111.8x,5.5x,47.0x,1535.0,1401.6,24.8%,237.7%
24,Chemcon Speciality ,MainBoard,199.1,729.1,01 Oct `20,318.0 Cr,₹ 340,113.5x,449.1x,41.1x,149.3x,731.0,584.8,115.0%,-41.5%
25,Route Mobile,MainBoard,1007.4,6346.4,21 Sep `20,600.0 Cr,₹ 350,89.8x,192.8x,12.7x,73.3x,708.0,651.1,102.3%,187.8%
26,Happiest Minds ,MainBoard,645.4,9827.8,17 Sep `20,702.0 Cr,₹ 166,77.4x,351.5x,70.9x,151.0x,351.0,371.0,111.5%,288.8%
27,Rossari Biotech,MainBoard,674.1,3732.5,23 Jul `20,496.3 Cr,₹ 425,85.3x,239.8x,7.2x,79.4x,670.0,742.4,57.6%,58.6%
28,SBI Cards and Payment,MainBoard,908.5,86451.0,16 Mar `20,10354.8 Cr,₹ 755,57.2x,45.2x,2.5x,26.5x,658.0,683.2,-12.8%,20.3%
29,CMS Info Systems,MainBoard,522.1,8587.9,31 Dec `21,1100.0 Cr,₹ 216,2.0x,1.4x,2.1x,1.9x,242.9,237.4,12.5%,141.7%
30,Supriya Lifescience,MainBoard,710.5,5717.9,28 Dec `21,700.0 Cr,₹ 274,31.8x,161.2x,56.0x,71.5x,425.0,390.4,55.1%,159.3%
31,HP Adhesives,MainBoard,51.2,470.1,27 Dec `21,126.0 Cr,₹ 274,1.8x,19.0x,81.2x,21.0x,319.0,334.9,16.4%,-6.6%
32,Data Patterns,MainBoard,2965.2,16600.4,24 Dec `21,588.2 Cr,₹ 585,190.9x,254.2x,23.1x,119.6x,864.0,754.9,47.7%,406.9%
33,Medplus Health,MainBoard,863.5,10339.8,23 Dec `21,1398.3 Cr,₹ 796,111.9x,85.3x,5.2x,52.6x,1040.0,1121.2,30.6%,8.5%
34,Metro Brands,MainBoard,1175.4,32004.4,22 Dec `21,1367.5 Cr,₹ 500,8.5x,3.0x,1.1x,3.6x,436.0,317.6,-12.8%,135.1%
35,C.E. Info Systems,MainBoard,1736.1,9447.9,21 Dec `21,1039.6 Cr,₹ 1033,196.4x,424.7x,15.2x,154.7x,1581.0,1394.5,53.0%,68.1%
36,Shriram Properties,MainBoard,96.1,1637.8,20 Dec `21,600.0 Cr,₹ 118,1.9x,4.8x,12.7x,4.6x,94.0,99.4,-20.3%,-18.5%
37,RateGain Travel ,MainBoard,460.5,5437.5,17 Dec `21,1335.7 Cr,₹ 425,8.4x,42.0x,8.1x,17.4x,364.8,340.5,-14.2%,8.3%
38,Anand Rathi Wealth,MainBoard,2095.0,17392.8,14 Dec `21,660.0 Cr,₹ 550,2.5x,25.4x,7.8x,9.8x,584.5,583.5,6.3%,661.8%
39,Tega Industries,MainBoard,1758.5,11700.3,13 Dec `21,619.2 Cr,₹ 453,215.4x,666.2x,29.4x,219.0x,753.0,725.5,66.2%,288.2%
40,Star Health ,MainBoard,421.6,24773.6,10 Dec `21,7249.2 Cr,₹ 900,1.0x,0.2x,1.1x,0.8x,903.0,906.9,0.3%,-53.2%
41,Go Fashion,MainBoard,899.4,4857.3,30 Nov `21,1013.6 Cr,₹ 690,100.7x,262.1x,49.7x,135.5x,1310.0,1253.7,89.9%,30.3%
42,Tarsons Products,MainBoard,383.4,2039.7,26 Nov `21,1023.5 Cr,₹ 662,115.8x,184.6x,10.6x,77.5x,700.0,840.0,5.7%,-42.1%
43,Latent View Analytics,MainBoard,442.5,9142.1,23 Nov `21,600.0 Cr,₹ 197,145.5x,850.7x,119.4x,326.5x,530.0,488.6,169.0%,124.6%
44,Sapphire Foods,MainBoard,329.7,10596.0,18 Nov `21,2073.3 Cr,₹ 1180,7.5x,3.5x,8.7x,6.6x,1311.0,1216.0,11.1%,39.7%
45,One97 Communications,MainBoard,921.4,58791.6,18 Nov `21,18300.0 Cr,₹ 2150,2.8x,0.2x,1.7x,1.9x,1955.0,1554.2,-9.1%,-57.1%
46,Sigachi Industries,MainBoard,44.4,1697.4,15 Nov `21,125.4 Cr,₹ 163,86.5x,172.4x,80.5x,101.9x,575.0,603.8,252.8%,172.5%
47,SJS Enterprises,MainBoard,1256.6,3937.3,15 Nov `21,800.0 Cr,₹ 542,1.4x,2.3x,1.4x,1.6x,514.0,509.9,-5.2%,131.8%
48,PB Fintech,MainBoard,1801.7,82744.4,15 Nov `21,5625.0 Cr,₹ 980,24.9x,7.8x,3.3x,16.6x,1444.0,1202.9,47.4%,83.8%
49,Fino Payments Bank,MainBoard,278.9,2321.0,12 Nov `21,1200.3 Cr,₹ 577,1.6x,0.2x,5.9x,2.0x,548.0,545.3,-5.0%,-51.7%
50,FSN E-Commerce ,MainBoard,201.7,57679.2,10 Nov `21,5351.9 Cr,₹ 1125,91.2x,112.0x,12.2x,81.8x,2001.0,2206.7,77.9%,7.5%
51,Aditya Birla Sun Life AMC,MainBoard,811.7,23423.0,11 Oct `21,2768.3 Cr,₹ 712,10.4x,4.4x,3.2x,5.3x,697.5,699.6,-2.0%,14.0%
52,Paras Defence,MainBoard,883.0,7115.9,01 Oct `21,170.8 Cr,₹ 175,169.7x,927.7x,112.8x,304.3x,475.0,498.8,171.4%,909.1%
53,Sansera Engineering,MainBoard,1403.1,8688.2,24 Sep `21,1283.0 Cr,₹ 744,26.5x,11.4x,3.1x,11.5x,845.0,818.7,13.6%,88.6%
54,Vijaya Diagnostic Centre,MainBoard,1013.0,10402.2,14 Sep `21,1895.0 Cr,₹ 531,13.1x,1.3x,1.1x,4.5x,542.3,619.3,2.1%,90.8%
55,Ami Organics,MainBoard,1129.7,9248.7,14 Sep `21,569.6 Cr,₹ 610,86.6x,154.8x,13.4x,64.5x,902.0,934.5,47.9%,270.4%
56,Aptus Value Housing ,MainBoard,325.5,16272.0,06 Sep `21,2780.1 Cr,₹ 353,32.4x,33.9x,1.4x,17.2x,360.0,346.5,2.0%,-7.8%
