company,ltp,market cap(in cr),listing open,listing close,issue type,listing date,issue size (in Cr),issue price (in rupee),qib subscription,hni subscription,retail subscription,total subscription,listing gain %,current gain %,lot size,sector,industry,minimum_investment_rupee,subscription_status,min_price_range,max_price_range,no_of_share,change_in_cffoa,change_in_ebitda,change_in_eps,change_in_net_profit,change_in_npm_percent,change_in_roce_percent,change_in_roe_percent,change_in_debt_to_equity_ratio,CAGR
Ascensive Educare,432.55831029595436,-2218.6003399686833,160.72234231493871,217.40993973505545,MainBoard,2022-09-26,196.2799808098291,236.25573099665635,17.693213299606917,-20.579127612802466,71.88207605360957,208.8690878390091,-1.804806723658622,602.0118642148173,1413,TRANSPORTATION,IT CONSULTING & SOFTWARE,119134,Oversubscribed,391.88317953381636,886.1619608660307,39.97015238651257,-16.24102083914716,42361.346020622346,14720.063675488389,130.75657652239107,53143.13088545237,214.55991547104574,202.15952837277825,-36.00414553831685,67.31405994751913
Radiant Cash Mgmt,-60.2795137944522,-1125.4571519002102,155.26936610345172,49.203774850583216,SME,2019-04-04,249.27042137033925,271.4355499413359,35.62327110029295,-33.0062562806083,-24.876933194384087,146.7110946328187,-6.015350058569858,331.51897929667837,-83,PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRIAL MACHINERY,152447,Oversubscribed,126.73213835576396,102.96349116779811,38.43450000871549,58.42993893572002,51697.55016203684,-53801.46157318806,-749.4268777304643,54393.16838673639,336.2523937336889,803.0987708627802,48.64387441900451,-59.41551896617291
V R Films & Studios,1262.747845271431,-3122.398226063684,199.23782874760013,85.28658374560591,SME,2023-05-29,907.2706122876762,277.27163184850787,40.35286969525422,-12.137479743221775,3.411572186382834,81.6961021777987,-10.78678327780665,228.45209494952317,2610,CONSUMER DURABLES,OTHER FOOD & BEVERAGES,114740,Oversubscribed,649.7182489628601,1304.950828877467,-24.720036993638324,-201.00818807593942,39905.354652919246,1525.7961097031482,25.24956774460177,25834.763983391764,198.02395313632775,874.4827335748969,16.29787360075963,20.570879448174054
Jeena Sikho Lifecare,480.08608128590515,1667.1882463497057,546.9834840881566,114.43546012665797,SME,2022-08-29,-48.41717967648496,309.1771300810183,8.411933296626088,-0.062191528904499194,-1.1602411276385691,16.365902863493506,9.039615479540924,728.3110420651035,-379,MEDIA,COMMODITY TRADING & DISTRIBUTION,135208,Undersubscribed,94.96414989060497,103.56865438059842,0.9691712442471996,108.87694020969883,27321.69917205373,-22181.957305385346,-808.6210085634106,54622.37431611356,152.94967130914733,940.0572235865685,26.987436998305107,-44.3804418079524
Khazanchi Jewellers,-171.20421500539555,1700.1557134701,264.77728358292774,134.5927872346055,SME,2019-10-01,-21.950683710138403,42.003848108358106,201.05632680050905,83.4766126157914,6.0977879266250445,17.519293813950284,3.377603598315112,318.02270128678003,496,HEALTHCARE EQUIPMENT & SUPPLIES,MOVIES & ENTERTAINMENT,116183,Oversubscribed,38.61197433564841,933.1200242499372,35.846409834329876,-4.518465450733899,36906.68705368674,-25585.086960842276,-514.7408164162682,26364.13919629515,173.6651424703178,323.8050761627554,-22.338555083878685,-20.681297710946943
Le Merite Exports,-32.212373296971336,-963.6375965521604,109.10645093513182,87.6279087309159,MainBoard,2022-12-28,176.68224331647292,722.668389098734,38.54720694667332,130.39705677439375,264.88310478312656,12.071942663595053,-48.440725557645834,212.79074188904886,3333,PHARMACEUTICALS & BIOTECHNOLOGY,CASTINGS & FORGINGS,142369,Oversubscribed,1106.9653397661293,478.45693004479915,1637.90610294579,-51.338444437496186,36389.981835949475,8782.523150649298,492.74213336226495,54478.20290071082,262.70062953941186,660.1308160602885,-27.520509739293527,-35.51073294628811
Aashka Hospitals,-119.66517713830426,-1114.7290619077671,105.77165803678142,1115.553658411975,SME,2023-11-16,2562.6852679485087,126.15838740845214,3.147921661524588,-3.7724481190767625,43.99646766882971,124.26605296154145,-18.008147742861215,586.0260436693841,2122,FOOD BEVERAGES & TOBACCO,PACKAGED FOODS,154690,Oversubscribed,146.70359704483687,130.41124577583454,-48.02573389192566,-132.79053715386672,28467.022477379604,-26191.587780630725,-582.5844277213715,44140.78869617777,121.1578723937692,830.3651481887076,65.27192966791341,5.31869523490861
Lead Reclaim & Rubber,-42.847171454316694,-398.83565272922374,16.47634691222831,172.02705205825185,SME,2023-04-21,93.34487124615582,96.2227216224463,-6.587170395904213,7.209260343867882,-3.5908442262465563,79.7955258973916,-28.14874514760461,584.0007231526833,177,FOOD BEVERAGES & TOBACCO,CONSTRUCTION & ENGINEERING,127790,Oversubscribed,41.07728772798588,94.53836080674611,82.75275581239477,-105.85726072369678,20763.81398979301,-9691.130974875643,-295.63821259807617,31571.987219242736,100.16622715635599,840.9286698135269,546.90171822064,-11.318277134527438
Nirman Agri Genetics,1982.7271528162973,-1058.8157983376905,484.633922043487,517.5217948278115,MainBoard,2022-10-10,-77.76012603041654,77.1451225097578,17.940873276431983,152.56123899396394,60.76327703321195,206.10668080956776,4.407344521596088,132.63620293890932,2804,AUTOMOBILES & AUTO COMPONENTS,SPECIALTY RETAIL,134472,Oversubscribed,387.31890599350606,637.8075726020127,26.636669043439525,-431.13742394122744,27853.60415205782,-23613.899613442212,-56.76525481510994,11664.826610297618,153.57622793966354,621.152654692366,-47.79638692769838,4.286126694462274
Party Cruisers,320.70895114574114,1241.2119564765567,550.3973445239402,1681.1391232805147,SME,2022-12-28,4233.236700812768,747.6250886332909,58.86832710815762,-27.15911604774698,1.3468181639813563,114.80313783828511,-0.6280470233615878,785.1471434743717,665,RETAILING,PHARMACEUTICALS,132098,Oversubscribed,205.99676959929462,-2.378944931072702,33.89788079287393,1194.872398385922,-1740.6458405434273,-572.6315695188077,-283.81591812767016,34986.09860673703,353.9359992021769,388.91743341833535,39.32345542980315,23.990104458623975
