,Company,Issue type,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain
0,DC Infotech and Comms,SME,276.4,391.9,27 Dec `19,10.8 Cr,₹ 45,-,1.4x,1.8x,1.6x,45.5,45.2,1.1%,514.2%
1,Ascom Leasing ,SME,86.0,100.8,06 Dec `19,6.3 Cr,₹ 30,-,1.9x,1.0x,1.5x,30.3,30.3,0.8%,330.3%
2,Mangalam Global ,SME,15.4,506.5,28 Nov `19,21.6 Cr,₹ 51,-,2.1x,0.5x,1.3x,53.0,51.5,3.9%,352.1%
3,Goblin,SME,18.2,25.2,16 Oct `19,15.2 Cr,₹ 52,-,1.9x,0.9x,1.4x,57.9,57.9,11.3%,-65.0%
4,Gensol Engineering,SME,54.2,205.8,15 Oct `19,17.9 Cr,₹ 83,-,2.3x,0.4x,1.3x,85.4,64.7,2.9%,161.0%
5,Goldkart Jewels,SME,213.0,357.5,15 Oct `19,4.5 Cr,₹ 10,-,1.7x,0.7x,1.2x,11.2,11.4,11.5%,2030.0%
6,Galactico Corporate ,SME,2.4,35.6,09 Oct `19,3.7 Cr,₹ 23,-,1.8x,0.6x,1.2x,23.2,0.9,0.9%,-91.2%
7,Misquita Engineering,SME,80.0,37.5,04 Oct `19,1.9 Cr,₹ 27,-,2.5x,0.7x,1.6x,27.9,29.2,3.1%,196.3%
8,Shiv Aum Steels,SME,302.0,410.7,01 Oct `19,15.8 Cr,₹ 44,-,2.3x,0.4x,1.3x,44.3,44.1,0.6%,586.4%
9,Novateor Research,SME,51.9,25.1,13 Sep `19,4.5 Cr,₹ 24,-,1.8x,0.7x,1.2x,24.0,24.1,0.0%,116.3%
10,Transpact Enterprises,SME,293.8,11.4,06 Sep `19,1.4 Cr,₹ 130,-,0.9x,1.4x,1.1x,132.5,131.0,1.9%,126.0%
11,Alphalogic Techsys,SME,105.4,659.9,06 Sep `19,6.2 Cr,₹ 84,-,2.0x,0.5x,1.2x,83.0,84.3,-1.2%,2300.9%
12,Wonder Electricals,SME,159.9,2142.5,01 Aug `19,19.8 Cr,₹ 89,-,2.2x,0.3x,1.3x,93.0,89.0,4.5%,2775.5%
13,SK Intl Export,SME,20.2,14.8,15 Jul `19,4.0 Cr,₹ 20,-,2.0x,0.5x,1.3x,19.2,20.0,-4.0%,0.9%
14,City Pulse Multiplex,SME,2119.8,2260.6,11 Jul `19,4.0 Cr,₹ 30,-,2.7x,3.3x,3.0x,28.5,29.6,-5.0%,6966.2%
15,AB Infrabuild,SME,171.0,1092.3,11 Jul `19,12.8 Cr,₹ 29,-,1.2x,0.7x,1.0x,29.0,29.1,0.0%,489.7%
16,Murae Organisor,SME,1.0,180.3,04 Jul `19,6.7 Cr,₹ 36,-,1.7x,1.5x,1.6x,36.0,36.0,0.0%,-46.1%
17,SBC Exports,SME,15.4,735.7,04 Jul `19,6.6 Cr,₹ 22,-,1.9x,0.8x,1.4x,22.0,1.2,0.0%,3053.1%
18,Anand Rayons,SME,293.0,615.5,02 Jul `19,12.7 Cr,₹ 27,-,1.9x,0.5x,1.2x,28.3,27.2,4.6%,985.2%
19,Parshva Enterprises,SME,254.7,259.5,01 Jul `19,3.6 Cr,₹ 45,-,1.6x,0.7x,1.2x,45.9,15.1,1.9%,466.0%
20,Suich Industries,SME,4.3,6.6,13 Jun `19,30.9 Cr,₹ 75,-,1.3x,1.5x,1.4x,68.5,71.3,-8.7%,-94.2%
21,Cian Healthcare,SME,4.2,10.4,23 May `19,37.9 Cr,₹ 61,-,1.9x,0.6x,1.3x,62.0,61.5,1.6%,-93.6%
22,Par Drugs & Chemicals,SME,96.5,118.7,16 May `19,8.5 Cr,₹ 51,-,3.5x,8.0x,5.7x,52.9,50.5,3.7%,89.1%
23,Artemis Electricals,SME,25.0,627.8,14 May `19,42.0 Cr,₹ 60,-,1.7x,0.5x,1.1x,70.0,69.8,16.7%,316.8%
24,Evans Electric,SME,190.4,104.5,13 May `19,1.9 Cr,₹ 52,-,2.6x,0.6x,1.6x,52.2,54.8,0.4%,1364.6%
25,White Organic Retail,SME,5.3,17.2,10 May `19,15.5 Cr,₹ 63,-,2.0x,0.7x,1.4x,64.2,10.7,1.9%,-91.7%
26,GKP Printing,SME,6.2,13.5,08 May `19,6.6 Cr,₹ 32,-,1.6x,1.6x,1.6x,34.2,17.5,6.9%,-80.8%
27,V R Films & Studios,SME,15.2,16.6,30 Apr `19,2.3 Cr,₹ 61,-,1.5x,1.6x,1.5x,62.0,60.0,1.6%,98.7%
28,Jinaams Dress,SME,2.4,5.3,25 Apr `19,42.5 Cr,₹ 59,-,1.3x,1.1x,1.2x,59.0,56.1,0.0%,-96.0%
29,KHFM Hospitality ,SME,82.0,171.1,12 Apr `19,10.6 Cr,₹ 36,-,1.3x,1.5x,1.3x,36.5,36.1,1.4%,127.6%
30,Osia Hyper Retail,SME,16.8,297.3,05 Apr `19,39.8 Cr,₹ 252,-,1.7x,0.6x,1.1x,255.0,267.6,1.2%,6.7%
31,Northern Spirits,SME,208.0,333.9,04 Apr `19,18.5 Cr,₹ 43,-,1.8x,0.8x,1.3x,43.7,43.1,1.6%,383.7%
32,Roopshri Resorts,SME,53.5,31.2,01 Apr `19,3.6 Cr,₹ 20,-,1.4x,0.8x,1.1x,20.3,20.3,1.3%,167.6%
33,Embassy Office Parks REIT,SME,391.0,37065.5,01 Apr `19,4750.0 Cr,₹ 300,2.1x,3.1x,-,2.6x,300.0,314.1,0.0%,30.3%
34,Artedz Fabs,SME,18.7,16.0,29 Mar `19,8.3 Cr,₹ 36,-,1.3x,1.8x,1.5x,40.0,41.6,11.1%,-48.1%
35,Humming Bird Edu,SME,90.6,55.6,28 Mar `19,2.1 Cr,₹ 132,-,1.9x,0.9x,1.4x,132.0,132.0,0.0%,586.6%
36,Ashapuri Ornament,SME,6.5,218.0,27 Mar `19,29.3 Cr,₹ 51,-,2.1x,0.3x,1.2x,50.0,51.0,-2.0%,28.2%
37,Aartech Solonics,SME,66.8,212.3,27 Mar `19,7.2 Cr,₹ 34,-,2.4x,1.6x,2.0x,34.0,23.1,-0.1%,783.9%
38,Mahip Industries,SME,3.4,6.6,12 Mar `19,16.6 Cr,₹ 32,-,1.5x,1.5x,1.5x,32.0,33.6,0.0%,-89.3%
39,Gleam Fabmat,SME,10.6,10.6,05 Mar `19,3.1 Cr,₹ 10,-,2.7x,0.8x,1.8x,9.0,8.6,-10.0%,6.1%
40,Kranti Industries,SME,89.8,114.6,28 Feb `19,8.6 Cr,₹ 37,-,1.3x,1.3x,1.3x,35.3,30.8,-4.7%,142.7%
41,Mindpool Tech,SME,74.1,31.4,28 Feb `19,3.6 Cr,₹ 30,-,2.5x,1.6x,2.1x,30.0,28.5,0.0%,147.0%
