company,ltp,market cap(in cr),listing open,listing close,issue type,listing date,issue size (in Cr),issue price (in rupee),qib subscription,hni subscription,retail subscription,total subscription,listing gain %,current gain %,lot size,sector,industry,minimum_investment_rupee,subscription_status,min_price_range,max_price_range,no_of_share,change_in_cffoa,change_in_ebitda,change_in_eps,change_in_net_profit,change_in_npm_percent,change_in_roce_percent,change_in_roe_percent,change_in_debt_to_equity_ratio,CAGR
3C IT Sol & Telecom,23.5,14.1,43.0,45.2,SME,2024-06-12,11.4,52.0,38.9,10.2,28.3,19.2,-17.3,-54.8,2000,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,104000,Oversubscribed,52.0,52.0,22.0,-283.3333,110.0,35.7143,-13.2701,22.2222,-26.2778,-51.6731,22.2222,-54.8
ABS Marine Services,204.0,500.8,294.0,279.3,SME,2024-05-21,96.3,147.0,57.0,354.6,146.9,133.1,100.0,38.8,1000,TRANSPORTATION,MARINE PORT & SERVICES,140000,Oversubscribed,140.0,147.0,65.0,-69.0789,-2.2581,18.1818,-21.728,17.284,19.8523,5.274,-28.5714,38.8
AVP Infracon,187.8,469.1,79.0,75.0,SME,2024-03-20,52.3,75.0,0.5,57.5,27.6,18.5,5.3,150.4,1600,CEMENT AND CONSTRUCTION,ROADS & HIGHWAYS,113600,Oversubscribed,71.0,75.0,70.0,-638.4615,283.6066,433.3333,170.7692,426.087,69.8883,42.896,-35.0,150.4
Addictive Learning,148.6,236.4,310.0,294.5,SME,2024-01-30,60.2,140.0,59.5,533.7,387.3,245.3,121.4,6.1,1000,DIVERSIFIED CONSUMER SERVICES,EDUCATION,130000,Oversubscribed,130.0,140.0,43.0,180.0,925.0,633.3333,10614.2857,600.0,7009.6491,0.0,0.0,6.1
Aimtron Electronics,733.8,1497.9,241.0,253.1,SME,2024-06-06,87.0,161.0,37.0,269.1,94.9,92.1,49.7,355.8,800,COMMERCIAL SERVICES & SUPPLIES,ELECTRONIC COMPONENTS,122400,Oversubscribed,153.0,161.0,54.0,-215.0685,-19.8157,-45.4545,-59.523,-45.2229,-69.4573,-62.3005,600.0,355.8
Akanksha Power,101.0,197.8,62.0,65.1,SME,2024-01-03,27.5,55.0,20.4,316.8,146.3,108.9,12.7,83.6,2000,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,104000,Oversubscribed,52.0,55.0,50.0,-28.5714,-20.0,-25.0,16.6983,-28.2051,-43.2105,-51.7513,25.0,83.6
Akme Fintrade,7.3,309.4,127.0,133.3,MainBoard,2024-06-26,132.0,120.0,28.1,130.3,45.8,55.1,5.8,-39.6,125,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),14250,Oversubscribed,114.0,120.0,110.0,-62.599,-29.0749,0.0,20.3282,-5.3892,-20.3376,156.1462,-47.0588,-39.6
Alpex Solar,1260.0,3083.6,329.0,345.4,SME,2024-02-15,74.5,115.0,75.2,668.1,467.6,301.4,186.1,995.6,1200,UTILITIES,POWER - ELECTRIC UTILITIES,130800,Oversubscribed,109.0,115.0,65.0,-505.8824,25.7426,23.0769,-6.7308,18.75,37.0684,8.6905,37.5,995.6
Aluwind Architectural,76.3,189.6,45.0,47.3,SME,2024-04-09,29.7,45.0,38.9,5.1,10.2,7.6,0.0,69.6,3000,METALS & MINING,ALUMINIUM AND ALUMINIUM PRODUCTS,135000,Oversubscribed,45.0,45.0,66.0,-50.0,145.0,266.6667,52.9086,237.5,59.0014,114.9051,0.0,69.6
Amkay Products,63.9,55.3,104.5,109.7,SME,2024-05-08,12.6,55.0,173.0,722.0,973.1,693.4,90.0,16.2,2000,HEALTHCARE EQUIPMENT & SUPPLIES,HEALTHCARE SUPPLIES,104000,Oversubscribed,52.0,55.0,23.0,-70.5882,-23.913,-52.7778,-29.5573,-51.6129,-64.1742,-70.3395,100.0,16.2
